16252523
/m/03wf2sf
/m/03wf2sf
Sue Grafton
1994
a 22
abandon 1
about 3
abreast 1
access 1
accumulated 1
actually 1
admission 1
affair 1
again 1
allergic 1
alphabet 1
already 1
also 3
an 3
and 20
angeles 1
any 1
apartment 1
apparently 1
arrive 1
as 6
asks 1
at 4
attacked 1
attorney 1
away 2
badly 3
be 2
beautiful 1
because 1
become 1
becomes 2
been 2
before 2
befriends 1
berlyn 4
body 3
bonney 7
boss 1
bugged 1
business 2
but 6
by 6
cabin 2
cant 1
carried 1
case 2
cause 1
chain 1
cheney 2
claimed 1
clark 2
class 1
cleaning 1
colleague 1
come 1
confront 1
conversation 2
convinced 1
coped 1
could 1
course 1
danielle 5
daughter 2
daughters 1
day 1
daytime 1
dead 2
death 6
decomposed 1
describing 1
developments 1
died 1
dies 1
discover 1
discovered 1
discovery 1
dj 1
earlier 1
electrocuted 1
electrocution 1
eleventh 1
encounter 1
enemies 1
engaged 1
escort 1
esselmann 3
estranged 1
evidence 2
father 1
fatherinlaw 1
final 2
find 2
finds 2
floor 1
for 2
fortune 1
found 2
friend 1
friends 1
from 3
frustrated 1
get 2
giving 2
guilt 1
had 5
haircut 1
happened 1
has 5
have 3
having 3
he 6
hector 1
help 2
her 18
herself 2
high 1
him 3
himself 1
hired 1
his 2
home 2
hospital 2
hostile 1
husband 1
immediately 1
in 13
into 1
investigate 1
investigation 1
is 10
it 4
janice 4
jd 2
keen 1
keep 1
kepler 2
kept 1
killed 1
killer 1
kinsey 16
knowledge 1
knows 1
lack 1
landlord 1
last 1
latenight 1
laura 1
learns 1
leda 1
less 1
lies 1
lift 1
like 1
line 1
link 2
linsey 1
loner 1
lorna 24
los 1
mace 2
made 1
mafia 1
mafiastyle 1
mainly 1
make 1
man 2
may 1
meanwhile 1
mereno 1
might 1
millhone 1
misunderstands 1
modest 1
money 1
months 1
more 1
mother 1
movie 1
murder 4
naturally 1
necessary 1
needed 1
needlessly 1
never 1
night 2
nightshift 1
nighttime 1
no 1
now 2
number 3
nurse 1
objected 1
obliges 1
occupation 1
of 21
officer 1
official 1
on 3
one 1
opponent 1
order 2
out 6
overcome 1
particular 1
people 1
personal 1
phillips 1
phone 1
phones 1
photo 1
plant 2
plot 2
points 1
police 1
pool 2
porn 2
positively 1
powerful 1
powerless 1
prostitute 1
quest 1
quickly 1
quiet 1
radio 1
reaction 1
realises 1
receptionist 1
reports 1
result 1
roger 4
routine 1
savagely 1
secluded 1
secret 1
secrets 1
seem 1
seems 1
seen 1
sense 1
sent 2
serena 2
series 1
set 1
sets 1
she 7
since 1
so 1
some 3
someone 2
soon 1
spoke 1
still 3
stockton 2
straw 1
stubby 1
stuns 1
surmises 1
surviving 1
suspected 1
suspicions 2
swimming 1
talks 1
tape 3
tazer 1
teenage 1
telephone 1
telling 1
ten 1
tended 1
terrifying 1
that 9
the 35
there 2
thinking 1
time 2
to 24
transcribes 1
trashed 1
treatment 2
tries 1
trinny 1
truth 2
turn 1
turned 1
two 1
tycoon 1
types 1
uncovers 1
until 1
up 3
upset 1
usual 1
variety 1
video 1
wants 1
warn 1
was 8
water 2
were 1
what 1
when 4
which 1
while 2
who 4
whom 1
wife 2
with 11
world 1
worried 1
