1638177
/m/05jpfj
/m/05jpfj
Michael Cunningham
1990-11-07
{"/m/02xlf": "Fiction"}
160s 1
170s 1
180s 1
20s 1
a 6
after 1
again 1
already 1
also 1
and 10
baby 2
become 2
befriends 1
beloved 1
best 1
bobby 7
brother 1
but 2
by 1
clare 4
cleveland 1
comes 1
complications 1
country 1
dead 1
dealing 1
death 1
definitions 1
drugs 1
during 1
eccentric 1
eventually 1
experiment 1
family 4
father 1
feelings 1
finds 1
for 1
form 1
friends 1
from 1
gay 1
grown 1
had 2
has 2
have 2
he 2
him 1
his 3
home 2
in 6
is 2
jonathan 7
lose 1
love 2
lovers 1
meet 1
mother 1
move 1
moves 1
new 1
of 3
ohio 1
older 1
openly 1
own 1
partying 1
planned 1
questioning 1
recurring 1
roommate 1
sexually 1
sheltered 1
still 1
suburban 1
takes 1
the 6
their 3
theme 1
time 1
to 2
together 1
touch 1
traditional 1
triangle 1
trio 1
two 1
unusual 1
up 2
were 1
where 2
while 2
who 2
with 4
witnessed 1
york 1
