4060573
/m/0bg26r
/m/0bg26r
André Breton
1928
{"/m/05hgj": "Novel"}
10day 1
a 12
about 2
absence 3
absent 1
account 2
affair 1
after 2
all 1
also 1
an 3
and 15
andr 1
around 1
artists 1
as 2
authoritarian 1
awakened 1
because 2
becomes 3
before 1
beginning 2
begins 1
belongs 1
better 1
between 1
bewildering 1
beyond 1
both 1
brief 1
but 1
cannot 2
chance 1
character 1
closeness 1
commencing 1
concern 1
conscious 2
consciousness 1
continue 1
conversation 1
corporeal 1
culminating 1
daily 1
demystified 1
depth 1
descends 1
despises 1
details 1
discovered 1
discussion 1
distances 1
dreaminess 1
encounter 1
essentially 1
eventual 1
everydaythere 1
evoke 1
existence 1
experience 1
fascination 1
feels 1
filled 1
form 1
freely 1
from 2
fundamental 1
generally 1
ghostly 1
he 6
held 1
her 13
here 1
him 2
himself 2
his 5
hope 1
however 1
ideologies 1
if 1
immediately 1
impenetrability 2
improbable 1
in 6
including 1
indicated 1
inducing 1
inspires 1
instated 1
into 3
is 10
it 3
its 3
itself 1
kiss 1
later 1
life 1
limits 1
linear 1
live 1
logic 1
mad 1
maintaining 1
many 1
materialization 1
may 1
meandering 1
means 1
memory 1
might 2
more 1
mysterious 1
nadie 1
nadja 2
named 2
narrating 1
narrative 1
narrator 6
no 1
notion 1
novel 1
number 2
obsessed 1
occasionally 1
of 20
often 1
on 5
once 1
one 2
only 2
onto 1
operations 1
ordinary 1
over 2
own 1
paradoxical 1
particularly 1
past 2
peeking 1
person 1
point 1
practice 1
predicated 1
presence 1
present 1
principles 1
propinquity 1
provoked 1
put 1
quarter 1
quotidian 1
rationality 1
reality 3
realizes 1
recession 1
reification 1
reinforcing 1
relationship 1
reliant 1
remaining 1
remind 1
rendezvous 1
residue 1
rigidly 1
role 1
romance 1
ruminates 1
rumination 1
russian 1
sane 1
sanitarium 1
seeing 1
seemingly 1
sense 1
serves 1
she 4
so 1
something 2
spanish 1
street 1
strikes 1
subverts 1
such 2
surrealism 1
surrealist 2
tears 1
text 2
than 1
that 8
the 31
theory 1
there 2
thin 1
third 1
this 2
through 3
thus 1
titular 1
to 4
tolerate 1
too 1
true 1
ultimately 2
unbridled 1
unconscious 1
under 1
understanding 1
unique 1
up 1
upon 1
veil 1
vision 1
waking 1
walking 1
way 1
which 3
while 1
whom 1
whose 1
with 6
within 1
woman 1
wonders 1
word 1
work 1
world 1
