452224
/m/02b7lw
/m/02b7lw
Stephen Baxter
1993-06
0 1
110 1
1855 1
1870 1
20th 1
a 11
abdicated 1
about 1
accelerate 1
action 1
actually 1
after 3
ago 1
air 1
albert 1
along 1
an 3
analogous 1
and 13
antiice 7
approach 1
are 1
arrive 2
as 3
assumed 1
at 2
attendant 1
begins 1
being 1
book 1
bournereturn 1
breaking 1
breaks 1
britain 1
broken 1
but 2
by 2
centuries 1
century 2
chagrin 1
cloud 1
cold 1
comet 2
commanders 1
composed 1
confined 1
considered 1
continent 1
converting 1
country 1
course 1
creatures 1
crimean 1
dark 1
dated 1
death 1
declared 1
destroying 1
destruction 1
devastation 1
development 1
diplomat 1
discovery 2
docking 1
does 1
due 2
dwelt 1
early 1
earth 4
edward 1
eighteenth 1
encountering 1
end 1
ends 1
energies 1
energy 1
enough 1
entirely 1
erupts 1
europea 1
experimental 1
explorersalong 1
fell 1
fifteen 1
fires 1
first 1
for 2
forthwith 1
france 1
francoprussian 1
free 1
frenchman 1
from 3
front 1
generates 1
george 1
germany 1
gladstone 2
gravity 1
he 1
hedley 1
hegemony 1
her 1
him 2
his 3
hit 1
holden 1
human 1
husband 1
ice 1
immediately 1
impacted 1
in 7
incredible 1
industrial 1
industrialist 1
infantry 1
inspect 1
into 2
inventor 1
is 7
it 1
its 4
josiah 1
journalist 1
july 1
junior 1
kingdom 2
late 1
latest 1
launching 1
letter 2
light 1
limitless 1
liner 1
little 2
maintains 1
manservant 1
massive 1
meeting 1
meets 1
midst 1
military 1
millionaire 1
mines 1
ministership 1
monopoly 1
moon 5
moonsas 1
much 1
mushroom 1
named 1
narrator 1
ned 1
not 1
notes 1
novel 1
now 2
nuclear 1
of 17
off 2
on 4
one 1
orders 1
originally 1
orlans 1
ostend 1
out 1
over 1
passengers 1
peace 1
perennial 1
personally 1
perspective 1
persuades 1
phaeton 3
pocket 1
pole 2
possibilities 1
power 3
prepare 1
price 1
prime 1
prince 1
queen 1
quickly 1
reign 1
releases 1
reluctant 1
residue 1
revolution 1
rivals 1
rocket 2
rockets 1
saboteur 2
see 1
sets 1
sevastopol 2
side 1
simple 1
so 1
soldier 1
son 1
soon 1
south 2
structural 1
substance 2
such 1
supply 1
surface 1
take 1
technology 1
tells 1
text 1
that 3
the 46
them 1
there 1
this 1
thought 1
throne 1
through 1
throughout 1
to 14
too 1
traveller 7
two 2
unconscionable 1
under 1
united 2
up 1
upon 1
upward 1
use 3
used 1
using 1
vehicles 1
vicars 6
victoria 1
vii 1
virtually 1
visit 1
war 6
warmed 1
was 1
water 1
weapons 1
when 2
which 4
while 1
who 1
whose 1
with 4
without 1
writer 1
years 1
yettobeunited 1
