7857212
/m/026gh1b
/m/026gh1b
David Baldacci

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
40 1
a 6
activities 1
after 1
against 1
agents 1
alex 2
although 1
american 1
an 2
and 10
angry 1
annabelle 3
are 2
area 1
artery 1
artist 1
as 1
ask 1
at 2
atlantic 1
bagger 2
be 1
become 1
becomes 1
been 2
believe 1
books 2
both 1
by 4
camel 3
carotid 1
casino 2
circumstances 1
city 1
climax 1
club 3
cohorts 1
cold 1
collaborators 2
collection 2
compromising 1
con 2
congress 1
conroy 2
curator 1
custody 1
dc 1
dead 1
dies 1
disappear 1
discover 1
east 1
efforts 1
ends 1
excia 1
find 1
finds 1
followed 1
followers 1
for 5
ford 2
found 1
from 2
general 1
had 1
has 1
head 1
heist 2
help 1
her 2
his 4
house 1
however 1
imagination 1
in 6
indulge 1
information 2
initially 1
intelligence 2
interested 1
into 1
introduced 1
is 6
jerry 1
kidnaps 1
kill 1
killed 2
killer 1
knife 1
library 1
life 1
living 1
middle 1
million 1
next 1
novel 3
of 8
off 1
oliver 1
on 1
one 1
out 2
overactive 1
owner 2
party 1
previous 1
pulling 1
rare 2
reappears 1
region 1
remaining 1
representatives 1
run 1
seagrave 1
seagraves 3
secret 1
secrets 1
selling 1
service 1
setup 1
she 1
sniper 1
speaker 2
states 1
stone 5
subsequently 1
suspicious 1
take 1
team 1
terrorists 1
that 1
the 23
their 1
they 3
thrown 1
to 3
tortured 1
tortures 1
turns 1
united 1
unknown 1
wants 1
washington 1
what 1
when 1
which 1
while 1
who 3
with 1
