15855368
/m/02nrn7s
/m/02nrn7s
Mark Salter
1999-08
144 1
145 2
15 1
168 1
172 1
173 1
38 1
8 1
a 3
about 1
above 1
account 1
against 1
aircraft 1
all 1
and 13
arms 1
as 1
battleships 1
became 1
book 2
camps 1
cannot 1
captivity 1
carriers 2
carry 1
centerpiece 1
cincpac 1
command 1
commanded 1
commander 1
commanderinchief 1
concludes 1
conflicts 1
control 1
describes 1
during 2
enabled 1
endured 1
escorts 1
explains 1
faith 2
fathers 1
fellow 1
five 1
following 2
for 1
force 1
forces 1
forefathers 1
forthrightly 1
four 1
from 2
half 1
having 1
he 3
him 2
his 8
imprisonment 1
in 8
injuries 1
is 1
it 1
jack 1
japan 1
john 1
july 1
kinds 1
late 1
later 1
lengthy 1
lift 1
mccain 4
misspent 1
my 1
navy 1
north 1
of 11
on 1
operations 1
ordeal 1
origin 1
other 1
pacific 3
passage 1
plus 1
pows 1
prisoner 1
prisoners 1
rank 1
rebellious 1
release 1
rose 1
shootdown 1
shoulders 1
slew 1
star 1
steps 1
submariner 1
suffering 1
sustained 1
task 1
that 1
the 16
theater 1
their 1
through 1
title 1
to 3
torturing 1
ultimately 1
under 1
us 2
various 1
vietnam 1
vietnamese 1
war 3
was 1
why 1
with 1
writes 1
years 1
youth 1
