191173
/m/01b4c6
/m/01b4c6
Douglas Adams

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/09kqc": "Humour", "/m/0hh4w": "Comic science fiction"}
a 32
able 3
about 2
across 2
actions 1
activated 2
activating 1
actually 1
after 8
ago 1
agrajag 4
airborne 1
airport 1
all 4
allow 1
allowing 1
alongside 1
also 2
an 2
anachronistic 1
and 39
android 1
another 2
any 1
anyway 1
apologises 1
appeared 1
are 4
around 2
arrive 1
arrives 2
arthur 19
as 3
ashes 3
aside 1
assembled 1
at 12
attack 3
attempt 1
attempts 2
bag 2
bail 2
ball 3
be 2
became 1
becomes 1
beeblebrox 1
been 2
before 6
began 1
behind 1
being 4
beta 1
bird 1
bistromath 3
bomb 2
bowl 1
brings 1
brutal 1
build 1
built 2
but 6
button 1
by 8
called 2
capturing 1
carrying 1
case 1
catching 1
cathedral 2
cause 3
causing 2
characters 1
cloud 3
collecting 2
collects 1
come 1
comes 1
component 1
components 2
continue 1
control 1
core 2
cores 1
cosmicsupernovabomb 1
could 1
countless 1
court 1
courtroom 1
crashed 1
created 3
creates 1
creating 1
creators 1
cricket 3
crowd 1
days 1
death 1
decided 1
defeated 1
defended 1
defender 1
dent 1
departing 1
desire 1
destination 1
destroy 2
destroyed 1
destruction 1
determining 1
detonate 1
develop 1
directed 1
disable 1
discover 2
discovered 1
discovers 1
disliking 1
dispersed 1
down 1
drags 1
drive 1
driving 1
drug 1
dud 1
due 3
dust 4
each 1
earth 2
eddy 1
end 4
ended 1
ends 1
engineering 1
enough 2
envelop 1
envelope 3
eons 1
epilogue 1
escape 1
events 1
eventually 1
every 2
everybody 1
everything 1
existence 1
explain 1
explains 1
explored 1
facilities 2
falling 1
field 1
find 3
finds 1
finished 1
flaw 1
fleet 1
flier 1
fly 2
flying 1
for 3
force 1
ford 3
forgotten 1
form 1
found 1
friend 1
friends 1
from 5
function 1
functional 1
gate 7
generations 1
given 1
go 3
goes 1
gold 3
greek 1
ground 3
grounds 1
group 2
hactar 6
had 3
halfmad 1
has 6
hate 1
he 15
head 1
heart 3
helmed 1
help 2
him 7
himself 2
his 10
hope 1
how 1
however 4
idea 1
idyllic 1
immediately 1
improbability 1
in 20
inadvertently 1
incite 1
infiltrate 1
infinite 1
influencing 1
insanity 1
inside 1
inspire 1
inspired 1
instead 1
into 3
is 13
it 5
its 1
journalist 1
just 1
key 1
kill 2
killed 2
killing 1
known 1
krikkit 11
lack 1
land 1
language 1
last 1
lasted 1
late 3
learning 2
learns 1
leave 1
level 1
life 1
link 1
live 1
long 2
lord 2
lost 2
luggage 1
mad 1
manages 1
marvin 3
meanwhile 1
met 1
middle 1
midthrow 2
miss 1
missing 1
moments 1
more 1
much 2
must 1
negotiate 1
new 1
next 1
not 3
now 2
numerous 1
obvious 1
of 37
off 1
old 1
on 5
once 1
one 3
only 2
onslaught 1
orbit 1
order 1
others 1
out 1
over 1
own 1
paradox 1
paranoid 1
partially 1
party 2
past 1
peaceful 1
people 3
piece 2
pieces 1
place 1
placed 1
planet 6
plans 1
population 3
prefect 1
prehistoric 1
press 1
presumably 1
previously 1
pulverise 1
purposely 1
question 1
quiet 1
ready 1
realise 1
realises 2
realising 1
reincarnating 1
rejoins 1
relative 1
remain 1
represented 1
requests 1
rest 5
restaurant 1
retrieve 1
return 2
returning 1
returns 1
reveals 2
revenge 1
reverse 1
robot 2
robots 11
same 1
satisfied 1
saw 1
seem 1
separated 1
serve 1
ship 2
ships 1
shortly 1
shot 1
sight 1
silver 1
simultaneously 1
skillful 1
slartibartfast 3
slotime 2
smart 1
sofa 1
solar 1
soon 2
space 2
spacecraft 1
spaceship 5
spacetime 1
speak 1
species 1
spent 1
squad 1
star 1
starship 1
started 1
stavromula 1
steal 1
stealing 2
still 1
stop 3
stranded 1
struggles 1
stupid 1
suddenly 2
suitcase 1
sun 1
supercomputer 1
supernovabomb 1
surprise 1
surprised 1
surrounded 1
survive 1
system 2
taking 2
tasked 1
tell 1
tells 1
that 22
the 115
their 8
them 5
there 2
they 11
this 2
thoughts 1
three 1
throw 1
thrown 1
thus 1
time 3
timeline 1
times 1
to 55
together 1
too 6
took 1
transport 2
travel 1
trillian 4
trip 1
troop 1
true 1
truth 2
try 1
trying 1
two 3
ultimate 1
unaware 1
unharmed 1
universe 10
up 2
using 1
version 2
vessel 1
virtual 1
vogons 1
waned 1
war 4
warfaring 1
wars 1
was 9
weaker 1
weapon 3
were 3
when 3
where 2
which 2
while 2
who 2
wicket 2
wikkit 4
with 3
witness 1
working 1
would 4
wreckage 1
xenophobia 1
years 1
yet 1
zaphod 3
