21108410
/m/05c17np
/m/05c17np
César Aira
2000
{"/m/05hgj": "Novel"}
18021858 1
a 6
account 1
adventure 1
aira 1
alexander 1
almost 1
altered 1
america 1
an 3
and 5
argentina 2
artist 1
as 4
at 1
biography 1
by 1
calls 1
chile 1
continue 1
costs 1
disfigured 1
dragged 1
each 1
environment 1
episode 1
explorer 1
fantasy 1
flees 1
german 1
he 2
him 2
his 5
history 1
horribly 1
horse 2
humboldt 2
in 2
include 1
into 1
is 1
johann 1
journeys 1
landscape 2
landscapes 1
latin 1
leaves 1
less 1
life 2
lightning 1
mexico 1
moritz 1
naturalist 1
navigates 1
now 1
of 10
offer 1
paint 1
painter 2
painting 1
pampas 2
persistence 1
philosophy 1
physically 1
physiognomic 1
portrait 1
power 1
prompting 1
recover 1
riding 1
rugendas 4
sees 1
sense 1
simultaneously 1
struck 1
struggles 1
surreal 1
sustaining 1
territories 1
than 1
the 10
their 1
themes 1
then 1
this 1
through 2
to 5
totality 1
travels 1
understanding 1
vision 1
von 1
what 1
when 1
while 1
whole 1
will 1
with 2
work 1
