17208586
/m/043lsv3
/m/043lsv3
Obert Skye
2008-09-30
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 4
about 1
above 1
across 1
addy 1
aliveezra 1
all 2
allows 1
an 2
and 19
angriest 1
answers 1
are 4
army 1
as 2
ascending 1
assisted 1
attitude 1
awesome 1
azure 1
backs 1
battle 1
beautiful 1
beauty 1
been 1
before 2
begun 1
being 1
beings 1
beneath 1
between 1
blindfolded 1
book 1
borders 1
boy 1
breed 1
brought 1
but 1
by 2
chocolate 1
clover 1
confused 1
course 1
dark 1
darkness 1
dearth 2
deep 1
desires 1
determined 1
dine 1
dirt 1
dream 1
dreams 2
each 1
eggmen 1
enough 1
evil 1
fight 1
finally 1
find 1
foo 7
foothe 1
for 1
forces 1
four 1
fourteenyearold 1
from 3
full 1
get 1
geth 2
gifted 1
got 2
great 1
had 1
hand 1
has 2
have 1
havoc 1
he 4
him 1
his 2
hope 1
imagine 1
impossible 1
impossibleis 1
in 6
inside 1
invade 1
invisible 1
is 6
janitor 1
join 1
leaked 1
leven 2
like 1
live 1
lost 1
mankind 2
merge 1
minds 1
more 1
mortality 1
most 1
motion 1
moving 1
must 2
never 1
no 1
normally 1
not 1
now 1
nowhere 1
nurturing 1
of 9
oklahoma 1
on 1
once 1
onetime 1
only 1
or 1
ordinary 1
other 1
own 1
place 2
plan 1
possible 1
power 1
powerfully 1
quickly 1
race 1
rants 1
ready 1
reality 5
realm 1
retrieved 1
ride 1
rises 1
rope 1
rule 1
run 1
sacrifice 1
save 1
secret 1
selfish 1
sent 1
shores 1
situation 1
skies 1
so 1
soil 1
stop 2
sycophant 1
sycophants 1
terry 1
that 1
the 28
their 1
there 1
those 1
thumps 1
to 11
toothpick 1
travel 1
true 1
unfortunately 1
unite 1
unlocked 1
unraveling 1
us 1
very 1
village 1
vulnerable 1
want 1
war 3
wave 1
well 1
who 1
winter 1
with 5
would 1
wreaking 1
wrestle 1
