386381
/m/0227cl
/m/0227cl
Sinclair Lewis
1920
a 5
about 1
admit 2
all 1
and 4
appalled 1
are 1
as 2
at 2
author 1
backwardness 1
be 1
beautiful 1
birthplace 1
boy 1
but 3
by 2
carol 4
centre 1
changes 1
class 1
cliques 1
clubs 1
comfort 1
companions 1
companionship 1
compels 1
conservatism 1
constantly 1
convinces 1
dc 1
defeated 1
derided 1
despite 1
disdain 1
dishwashing 1
distributes 1
do 2
doctor 1
does 1
efforts 1
enough 1
eventually 1
feel 1
finds 1
for 2
freespirited 1
friendly 1
from 1
gopher 3
heart 1
her 8
his 1
holds 1
hometown 1
husband 1
i 2
in 3
ineffective 1
inhabitants 1
is 6
it 2
its 1
joins 1
kennicott 1
leading 1
leaves 1
liberal 1
literature 1
live 1
liven 1
main 1
marries 1
marry 1
members 1
metropolis 1
milford 1
minnesota 3
modeled 1
moves 1
nevertheless 1
not 3
of 3
on 1
one 2
outside 1
parties 1
paul 1
physical 1
prairie 3
progressive 1
reared 1
reform 1
returns 1
saint 1
satisfy 1
sauk 1
she 5
should 1
smalltown 1
smug 1
social 1
speaks 1
street 1
taken 1
that 2
the 5
these 1
they 1
time 1
to 5
town 2
ugliness 1
unhappiness 1
up 1
washington 1
when 1
who 1
will 2
with 1
woman 1
women 2
young 1
