275377
/m/01p7_l
/m/01p7_l
Terry Pratchett
1976-01-26
a 9
able 1
added 1
adventure 1
against 1
aliens 1
among 1
and 6
anybody 2
anything 2
apart 1
artefacts 1
as 1
assassinated 1
assassinating 1
assassination 2
at 2
attempt 1
attempts 1
back 1
be 1
been 1
before 1
being 1
by 2
chairman 1
chance 1
conspiracy 1
corners 1
creapii 1
day 1
deemed 1
delay 1
discover 1
distant 1
diverse 1
do 1
doing 1
dom 5
dominickdaniel 1
encountering 1
equipped 1
eventuality 1
father 4
find 1
finds 1
first 1
for 1
from 2
fully 1
further 1
godfather 1
had 1
has 1
have 1
having 2
he 2
himself 1
his 11
home 1
homeworld 1
however 1
hrshhgn 1
ig 2
improbable 1
in 2
incalculably 1
increasingly 1
inventor 1
investiture 1
is 3
isaac 1
iv 1
joker 1
jokers 4
killed 1
life 1
lifebubble 1
little 1
locating 1
long 1
makes 1
manfriday 1
many 2
math 1
more 1
mysterious 1
mysteriously 1
not 1
numerous 1
octopoid 1
odds 2
of 10
on 2
other 1
out 1
person 1
pet 1
phnobe 1
picaresque 1
planet 2
planets 1
played 1
plays 1
pmath 2
predict 1
predicted 1
prediction 3
prevent 1
probability 1
quantified 1
recording 2
robot 1
sabalos 1
same 1
science 1
sentient 1
sets 1
sexless 1
so 1
son 1
specifically 1
subcircuitry 1
survives 1
surviving 1
swamp 1
swampdwelling 1
that 2
the 14
this 1
time 2
to 5
told 1
too 1
tow 1
tutor 1
unlikely 1
using 1
visits 1
wealthy 1
weird 1
when 1
which 2
who 1
widdershins 1
will 1
with 3
worked 1
world 1
would 1
