1639433
/m/05jsry
/m/05jsry
Isaac Asimov
1958
{"/m/02n4kr": "Mystery"}
a 6
about 3
accuses 1
acetate 1
admits 1
after 1
afternoon 1
afterward 1
again 1
agent 1
also 1
an 1
and 9
anson 6
any 1
anyone 1
argument 1
around 1
as 3
associate 1
at 1
attempt 1
attends 1
back 1
becomes 1
been 2
biochemistry 1
blame 1
blaming 1
both 1
brade 6
by 3
cap 3
cardinal 1
case 1
cautions 1
chairman 1
chambers 1
chance 1
charge 1
chemical 2
chemistry 1
comparative 1
confesses 1
connection 1
continue 1
could 1
cyanide 3
data 2
day 2
dead 1
death 3
demand 1
departmental 1
destroy 1
detective 1
disrespectful 1
doheny 5
echo 1
emeritus 1
encourages 1
experiment 1
faked 2
faking 1
fed 1
finds 1
for 4
fraud 1
gas 1
gets 1
getting 1
gettogether 1
go 1
goes 1
goodhue 1
graduate 1
grim 1
had 4
have 3
having 1
he 15
hiding 1
him 5
his 7
holocaust 1
home 1
however 1
hydrogen 2
immediately 1
in 8
inhaled 1
instead 1
into 2
is 4
it 2
job 1
killed 1
kinetics 1
knows 1
lab 1
laboratory 1
later 1
lectures 1
lethal 1
life 1
line 1
littelby 2
meets 2
might 1
motive 1
murder 1
mystery 1
nazis 1
nearly 2
neufeld 2
next 2
night 1
not 1
notebooks 1
now 1
of 5
on 3
one 1
only 1
other 1
outright 1
overheard 1
own 1
perhaps 1
person 1
possible 1
powders 1
presence 1
prof 1
professors 1
professorship 1
protect 1
puts 1
questioned 1
questions 1
ralph 8
reaction 1
reads 1
realizes 1
refuses 1
reputation 1
research 1
resolved 1
returns 1
revealing 1
reveals 1
roberta 1
saying 1
says 1
seems 1
she 3
sin 1
so 1
sodium 2
solve 1
somehow 1
student 2
suggesting 1
suicide 1
sunday 1
suspicions 1
tell 1
tells 1
tenure 2
that 7
the 19
their 1
them 1
then 1
they 1
this 2
through 1
thursday 1
to 10
together 1
tricks 1
triggers 1
trying 1
twists 1
university 1
up 1
used 2
visit 2
wants 1
was 3
when 2
which 1
white 1
who 3
wife 1
with 5
work 1
would 2
zoo 1
