375354
/m/020y_v
/m/020y_v
Kurt Vonnegut
1997
11 1
2001 2
a 5
accidents 1
action 1
actions 1
affected 1
again 2
also 2
and 9
anecdotes 2
apathy 1
are 1
as 3
assert 1
at 2
author 1
authors 1
back 2
bad 1
beginning 1
book 3
breakfast 1
but 1
by 4
cause 1
celebration 2
centered 1
champions 1
chapters 1
character 1
choices 1
citizens 1
clambake 1
combining 1
comes 1
complete 1
conclusion 1
control 1
deal 1
death 1
declares 1
degree 1
depressed 1
depression 1
described 1
determinism 1
did 1
die 1
died 1
do 1
dozens 1
drive 1
drunk 1
during 1
end 1
ennui 1
every 1
explains 1
exploredas 1
expound 1
family 1
finished 1
for 1
foreshadowed 1
free 2
goes 1
gripped 1
has 2
have 1
having 1
he 3
heavily 1
helps 1
himself 1
his 1
idea 1
in 11
injure 1
inserted 1
into 1
is 6
island 1
it 2
kilgore 2
last 1
later 1
lesser 1
loved 1
main 1
make 1
many 2
meets 1
most 1
no 2
not 2
novel 1
now 1
of 17
off 1
on 3
one 3
ones 1
oneself 1
only 1
or 3
original 1
other 1
others 2
pages 1
parents 1
parts 1
people 4
personal 1
plot 2
premise 1
previous 2
produced 1
product 1
ramble 1
really 1
repeat 1
repetition 1
resume 1
retreat 1
revive 1
rhode 1
sadness 1
satisfied 1
serves 1
severely 1
sick 1
slaughterhousefive 1
small 1
socalled 1
something 1
sort 1
stories 1
taking 1
tangents 1
telling 1
text 1
that 4
the 25
their 1
them 1
there 2
they 2
this 1
thoughts 1
throughout 1
thrust 1
thus 1
time 2
timequake 7
to 5
trout 4
two 1
undertook 1
uses 1
version 1
vonnegut 5
was 1
watch 1
watching 1
well 1
were 1
when 1
which 2
while 1
who 2
will 2
with 3
words 1
work 1
worksto 1
wrote 1
wrought 1
xanadu 1
year 1
you 1
youre 1
