10509642
/m/02qg7r3
/m/02qg7r3
John Barnes
2006
a 15
able 2
addams 1
advanced 1
after 4
again 1
aggressive 1
agree 1
aintellect 5
aintellectrun 2
aintellects 1
aintellectsrobots 1
alien 4
along 2
also 1
amateurish 1
an 6
and 29
another 2
are 7
army 1
as 12
assassination 2
assisting 1
attempt 3
attempts 1
azalais 3
back 2
backed 1
be 5
before 2
beginning 1
begins 2
beheaded 1
beheading 1
behind 1
being 2
best 1
between 1
both 1
bottom 1
brainbut 1
brains 1
building 1
but 2
by 6
call 1
can 3
cannot 1
captures 1
cause 1
charges 1
chimera 2
chimeras 1
choose 1
cleared 1
coincidences 1
colonies 2
colony 1
come 2
comes 1
complete 1
conspiracies 2
consumed 1
contact 3
contacted 1
control 1
cooperation 1
could 1
council 4
creators 1
cry 1
culture 1
cycle 1
death 1
deconstruct 1
defenses 1
dependent 1
destroy 2
destructively 1
dynamic 1
earth 2
ebles 1
either 1
entertainment 1
escape 1
escaping 1
eventually 1
everyone 2
exchange 1
executed 1
experiences 1
face 2
facts 1
fall 2
father 1
fellow 1
find 1
finding 1
first 1
foe 1
for 7
forbidden 1
form 1
fought 1
found 1
free 2
friend 1
from 9
future 2
generations 1
get 2
giraut 11
girautshan 4
goal 1
guilty 1
had 1
happened 1
he 6
healed 1
held 1
help 3
her 1
hidingtheir 1
him 5
his 8
holograph 1
home 2
horrors 1
human 2
humanaintellect 1
humans 2
implanted 2
in 13
including 1
increasingly 1
injured 1
introduces 1
invades 1
invasion 2
is 16
isolated 1
it 4
its 1
ix 1
join 1
joined 1
just 1
keeps 1
kidnapped 1
kill 1
killed 2
know 1
knowledge 1
laprada 1
leaves 1
left 1
life 1
lose 1
love 2
made 2
make 2
margaret 4
marginalized 1
martyr 1
memories 1
mission 1
mount 1
multiple 1
music 2
musician 2
needed 1
new 2
not 1
noucatharia 5
occitan 1
of 12
office 1
on 6
once 1
only 2
or 2
organic 1
osp 6
out 4
outside 1
over 1
overwhelmed 1
paxa 3
paxaazalais 1
permanent 1
permit 1
personal 1
planet 2
planning 1
possible 1
prisoner 1
progressive 1
projects 1
protection 1
psypyx 5
psypyxed 1
public 1
questions 1
quickly 2
raimbaut 5
rallying 1
rapidly 1
reality 1
recognizes 1
rescue 2
retires 1
revealed 1
rielis 5
rogue 2
secrets 1
see 1
send 1
sends 1
sent 1
separated 1
serve 1
several 2
severely 1
shan 6
she 1
singer 1
site 1
society 1
soon 1
sort 1
space 2
special 1
springer 3
stay 1
story 1
successfully 1
supremacists 1
talented 1
team 3
that 4
the 24
their 3
them 2
themselves 2
then 1
there 2
they 5
thing 1
those 1
threat 2
through 1
time 1
to 34
told 1
tortured 1
trial 1
tries 1
trying 1
uncover 1
unifying 1
union 7
unknown 2
until 1
up 1
very 1
via 1
virtual 1
wants 1
was 2
were 1
what 2
whereabouts 1
which 4
who 4
wilson 1
with 8
works 1
would 1
young 1
