22357290
/m/05sz3sm
/m/05sz3sm
Charlaine Harris
2007-05-01
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/01qxvh": "Romance novel"}
a 12
about 1
accosts 1
accusations 1
accused 1
accuser 1
accusers 2
after 1
again 1
against 1
agrees 1
all 3
allegiances 1
alliances 1
already 1
also 2
although 1
and 27
andre 3
antivampire 1
any 1
applies 1
appoint 1
are 5
arkansas 3
arrive 1
as 9
asleep 1
at 7
attendees 1
attracted 1
barry 4
base 1
be 6
became 2
become 1
been 2
begins 1
being 3
bellboy 2
bill 1
blood 3
bomb 1
bombs 1
brutally 1
but 2
by 4
can 2
cater 2
causes 1
central 1
child 1
claudine 1
closely 1
closest 1
clues 1
conservative 1
control 2
convention 5
courtroom 1
cover 1
crime 2
damage 1
daytime 1
deadly 1
death 2
described 1
despite 1
determined 1
discuss 1
dread 1
due 1
during 1
enable 1
entering 1
entourage 1
eric 6
escape 1
escapes 2
even 1
exchange 2
exhange 1
fairy 1
fangtasia 1
fealty 1
fearsome 1
feel 1
fellowship 2
fighter 1
find 1
finds 2
finish 1
for 7
force 1
forever 1
formed 1
free 3
friend 1
frighteningly 1
from 3
get 1
gift 1
go 1
godmother 1
good 1
great 1
group 1
had 3
has 4
have 2
having 1
he 3
heats 1
helpless 1
her 14
high 1
him 5
his 3
horowitz 1
hotel 2
human 1
humans 4
hurricane 1
husband 1
impassively 1
implications 1
impressed 1
in 12
indebted 1
injured 1
injuries 2
innocent 2
intercession 1
into 1
invaluable 1
is 10
jennifer 3
katrina 1
killed 1
king 4
knows 2
legs 1
lieutenant 1
like 1
listen 1
local 1
logic 1
loses 1
louisiana 1
main 2
major 1
makes 1
manipulated 1
marry 1
meanwhile 1
meets 1
men 1
mind 1
minor 2
more 2
most 1
mother 1
multiple 1
murdered 1
murdering 2
nature 1
never 1
new 1
now 1
number 1
of 20
off 1
on 1
one 1
only 5
opens 1
order 2
orleans 1
other 2
outside 1
over 1
pam 1
partly 1
pay 1
permanently 1
plans 1
planted 2
players 1
political 1
politics 1
position 1
potentially 1
power 4
powerful 1
powerfully 1
precarious 1
process 1
protests 1
prove 1
proves 1
public 1
put 2
queen 11
quick 1
quinn 2
quinnmdashas 1
ramping 1
raping 1
realize 1
realizes 1
relationship 1
rescues 1
response 1
right 1
ring 1
saves 2
see 1
set 2
she 9
shocking 1
simplifies 1
some 4
something 1
sookie 16
soon 2
sophieanne 7
staked 2
stakes 1
stand 1
started 1
states 1
still 1
story 1
struggle 1
suggestion 1
suite 1
summit 1
sun 3
sure 1
talk 1
team 1
teen 1
telepath 1
telepathy 1
tense 1
tested 1
that 6
the 55
their 1
then 3
there 1
they 5
thinking 1
third 1
this 2
those 1
though 1
thoughts 1
three 1
throughout 2
tie 2
time 2
to 31
together 1
toll 1
training 1
trial 3
turn 1
uncovers 1
undead 1
united 1
up 4
use 2
usefulness 1
vampire 3
vampires 6
vampiric 1
very 3
violation 1
warnings 1
watches 1
way 1
weakened 1
well 1
were 1
weretigergladiator 1
what 2
when 1
which 2
who 6
will 3
with 8
witness 1
work 2
working 1
would 1
years 1
yet 1
