63985
/m/0h4g1
/m/0h4g1
Stephen King
1987-05
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/025txgl": "Western fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
164 1
177 1
187 1
a 13
abducted 1
actions 1
active 1
acutely 1
addict 1
addiction 2
adversary 1
after 3
all 1
along 1
alternate 2
although 2
an 1
and 21
angry 1
appearance 1
are 3
as 3
at 4
attacked 1
aware 1
back 1
balazar 1
based 1
be 2
beach 2
because 1
become 1
before 1
begins 1
being 1
below 1
big 1
black 2
body 1
book 1
both 3
bring 1
bringing 1
brings 2
brother 1
but 1
by 3
called 2
car 1
cards 1
chambers 1
city 1
civil 1
cocaine 1
companion 1
companions 1
completely 1
contend 1
continue 1
continues 1
created 1
creature 2
crucial 1
curing 1
dark 3
dealing 1
dean 2
death 2
decides 1
decisions 1
deep 1
deeper 1
defined 1
described 1
destiny 1
detta 4
different 1
does 2
door 4
doors 3
draw 1
drug 2
dubs 1
each 2
eddie 7
encounter 1
encounters 1
end 1
enrico 1
essential 1
events 1
eventually 1
fate 1
feverish 1
finger 1
first 1
for 6
forced 1
forcibly 1
form 2
former 1
from 1
front 1
fuse 1
fusing 1
fusion 1
gives 1
government 1
guessed 1
gunslinger 4
hand 1
hands 3
happened 1
has 3
he 10
head 1
headed 1
helping 1
henry 1
her 4
heroin 1
him 3
his 15
holmes 3
hours 1
in 13
index 1
infected 1
injuring 1
instead 2
into 4
is 10
jack 3
jake 3
join 1
katet 1
killing 1
kills 1
knees 1
labeled 3
lady 1
later 1
led 1
legs 2
less 1
lives 1
lobsterlike 1
lobstrosity 1
lord 2
losing 2
loss 1
lost 1
lot 1
loves 1
made 1
man 2
many 1
may 1
mdash 1
metaphorically 1
middle 1
might 1
minds 1
misgivings 1
missing 1
mort 5
most 1
movement 1
multiple 2
murder 1
named 1
need 1
new 3
north 1
not 3
occasionally 1
odetta 7
odettadetta 1
of 23
on 2
one 1
onto 1
opens 1
or 2
outbursts 1
owe 1
own 1
part 1
passes 1
people 1
periods 1
personalities 4
personality 3
pleasure 1
predatory 1
previous 1
prison 1
prisoner 1
process 1
pushed 1
pusher 2
quest 3
random 1
reach 1
regarding 1
respectively 1
responsible 1
result 1
results 1
revealing 1
reveals 2
right 2
rights 1
roland 12
sacrifice 1
sadistic 1
same 1
saves 3
second 1
series 1
seven 1
shadows 2
sharing 1
she 2
since 1
single 1
smuggling 1
so 1
sociopath 1
soon 1
strange 1
strangers 1
strength 1
stronger 1
subway 1
suddenly 1
susannah 7
takes 1
tarot 1
than 1
that 4
the 43
their 2
them 1
thenceforth 1
these 3
they 1
third 4
three 1
through 2
throw 1
time 1
to 12
toe 1
tower 4
trauma 1
trek 1
two 1
unaware 1
untreated 1
up 1
upon 1
using 1
vent 1
violent 1
wakes 1
walker 1
was 1
wealthy 1
what 1
when 1
where 2
which 1
while 1
who 5
whom 1
will 2
with 5
woman 3
world 4
worse 1
wounds 1
york 1
