1856534
/m/061ff0
/m/061ff0
Hugh Lofting
1928
a 2
age 1
and 3
animals 1
any 1
artist 1
as 1
at 1
away 1
be 1
bludge 1
book 1
brings 1
broke 1
but 1
can 1
communicate 1
conforms 1
considered 1
day 1
described 1
detail 1
discovers 1
discovery 1
doctor 2
dolittle 2
each 1
earth 1
environment 1
ever 1
fantasy 1
fauna 1
fiction 1
flock 1
flora 1
from 1
has 1
he 2
him 1
how 1
human 1
in 2
intelligent 1
is 1
it 1
ja 1
known 1
landed 1
leave 1
let 1
lunar 2
man 1
meets 1
meticulous 1
moon 4
more 1
new 1
no 1
of 2
on 2
only 1
otho 1
plants 1
pretence 1
science 2
stone 1
than 1
that 1
the 12
there 2
thus 1
time 1
to 4
was 2
way 1
what 1
when 1
who 1
will 1
with 1
writing 1
