3603859
/m/09pbkd
/m/09pbkd
Yvonne Navarro
2002-03
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 5
actually 1
after 1
alike 1
an 1
and 6
anya 2
appearance 1
arrival 1
as 2
at 1
back 1
battle 1
beautiful 1
becomes 1
being 1
better 1
both 1
buffy 3
but 1
by 1
can 1
caused 1
celina 5
come 1
comes 1
deadly 1
decide 1
demanding 1
demonhood 1
dhoffryn 1
encounter 1
expected 1
far 1
fighter 1
fighting 1
for 2
from 1
giles 1
had 1
has 1
head 1
her 10
human 1
humanity 1
humans 1
immortal 1
in 3
involved 1
is 7
kill 1
know 1
longer 1
lot 2
meanwhile 1
meet 1
method 1
more 1
must 1
mysterious 1
named 1
news 1
next 1
no 1
nothing 1
of 3
offers 1
over 1
own 1
pain 1
path 1
prepare 1
realizes 2
research 1
right 1
scares 1
she 5
shocking 1
short 1
slayer 1
sunnydale 2
sunrise 1
superior 1
than 1
that 3
the 4
there 1
they 1
this 1
time 1
to 5
unfortunately 1
upon 1
uproar 1
vampires 1
vicious 1
violent 1
way 1
what 1
where 1
which 1
who 1
willing 1
with 3
woman 2
wrestles 1
young 1
