21988157
/m/05p1jrv
/m/05p1jrv
Qiu Xiaolong
2004-07
30s 1
a 9
acclaimed 1
also 2
an 1
and 5
annoyed 1
answers 1
apparent 1
asked 1
at 2
attached 1
be 2
because 2
been 1
believe 1
boss 1
built 1
bureau 1
business 1
businessman 1
but 2
can 1
cannot 1
cao 1
care 1
central 1
charge 1
chen 5
china 1
committed 1
complex 1
confesses 1
could 1
crime 1
critically 1
detective 1
discovers 1
else 1
english 1
evoking 1
finds 1
first 1
for 4
forced 1
fortune 1
glamour 1
glitter 1
has 3
have 1
he 5
her 1
him 2
his 3
holiday 1
how 1
in 4
inspector 2
into 1
investigate 1
investigation 1
is 9
it 2
laptop 1
li 1
like 1
made 1
medical 1
mother 1
murder 1
murdered 1
murderer 1
mystery 1
neighbor 1
new 1
no 1
nostalgia 1
not 1
novelist 1
of 4
offer 1
only 2
or 1
part 1
party 1
past 1
played 1
police 1
postcultural 1
proposal 1
really 1
refuse 1
reluctant 1
reported 1
restaurants 1
returns 1
revolution 1
room 1
secretary 1
seems 2
sergeant 1
set 1
shanghai 2
shops 1
shorten 1
so 1
someone 1
starts 1
strings 1
take 1
taking 1
that 3
the 11
third 1
this 1
to 6
translate 1
triad 1
triadconnected 1
vacation 1
what 1
when 2
with 1
working 1
world 1
yu 2
