84449
/m/0lhgy
/m/0lhgy
Allan Bloom
1987

150s 1
1em 1
2em 1
40 1
60s 1
85 1
a 13
about 1
absence 1
allan 1
alone 1
along 1
american 6
americans 1
an 2
analogies 1
analysis 2
and 25
are 3
argued 2
argues 1
aristotle 1
around 1
as 8
at 3
attention 1
authentic 1
autonomously 1
backgroundwhite 1
based 2
battle 1
be 1
become 1
been 2
before 1
being 1
belief 1
believer 1
between 1
beyond 3
bloom 13
books 1
bored 1
bourgeois 1
branded 1
broaden 1
brownshirts 1
but 2
by 9
calling 1
cardinal 1
cellspacing5 1
chapter 1
children 1
cites 1
civilized 1
claims 1
classical 1
classtoccolours 1
closing 4
colorblack 1
commercial 1
communicated 1
companies 1
completion 2
contemporary 3
context 1
controlled 1
corps 1
could 2
coupled 1
created 2
crisis 2
criticism 1
criticizes 1
critics 2
critique 3
culture 1
current 1
deconstructionism 1
demagogic 1
derived 1
devalued 1
dionysian 1
disregard 1
dissolve 1
draws 1
drum 1
eclipsed 1
economist 1
economy 1
education 4
effects 1
elevate 1
emergence 1
employs 1
enable 1
engage 1
enlightenment 1
enshrined 1
enthrall 1
envy 1
eroticsterility 1
ethical 1
examined 1
exemplified 1
explain 1
explores 1
extends 1
extent 1
fact 1
fail 1
failing 1
failure 1
fame 1
fashion 3
feature 1
filled 1
find 1
first 2
fontsize 1
for 6
frank 1
frankfurt 1
freedom 2
fresh 1
from 2
gap 1
gave 1
general 1
generically 1
genuine 2
german 1
glory 1
great 2
guitar 1
habits 1
had 3
have 1
he 6
held 1
hero 1
higher 1
highly 1
himself 1
his 3
historical 1
honor 1
how 1
human 1
humanities 1
humanizing 1
hymn 1
hypocrisy 1
ideas 2
ideology 1
images 1
imperatives 2
important 1
in 22
inability 1
including 1
industry 1
informed 1
instance 1
intellects 1
interest 2
into 2
involved 2
irrationalism 1
is 6
issues 1
it 4
its 5
jagger 3
john 1
just 2
lack 1
language 2
large 1
latecapitalist 1
leaders 1
leading 1
leads 1
leap 1
learning 1
led 1
left 1
liberal 3
liberation 1
life 1
like 1
literature 2
lives 2
lockethat 1
logical 1
longings 1
love 1
lover 1
many 1
marginleft 1
marginright 1
maxwidth 1
mick 1
might 1
mind 3
modern 4
moneymanagers 1
moral 1
more 1
movements 2
mundane 1
music 5
musical 1
musician 1
musics 1
must 1
names 1
nazi 1
nietzsche 1
nietzsches 1
of 39
offerings 1
often 1
on 2
once 1
one 2
options 1
or 6
ordinary 1
orientation 1
our 2
over 1
paramount 1
part 1
performers 2
persuade 1
petty 1
philosophic 1
philosophical 3
philosophy 7
pious 1
pique 1
place 1
placing 1
platonicsocratic 1
platos 1
play 1
points 1
political 1
politics 1
pop 4
popmusic 1
popstar 1
popular 2
positivism 1
power 1
prays 1
preservation 1
pretensions 1
professors 2
promote 1
pseudophilosophy 1
psychiatristcontemporary 1
pursuits 2
purview 1
quest 1
quietly 1
radicals 1
really 1
reason 1
rebelliousness 1
reconstruct 1
record 1
relationships 1
relativism 2
religious 1
representative 1
republic 3
resembles 1
revolves 1
right 1
rock 1
romantic 1
rousseau 1
same 2
says 1
school 1
second 1
seduced 1
seek 1
sees 1
selfinterest 1
serve 1
sexual 3
skepticism 1
social 2
society 5
socrates 1
soldier 1
some 1
soul 1
souls 1
source 1
speak 1
spell 1
standards 1
state 1
states 1
sterile 1
student 1
students 6
style 1
stylefloat 1
styletextalign 1
subverted 1
success 1
successful 1
suggests 1
targetmarketing 1
teaching 1
teenagers 1
than 1
that 12
the 62
their 3
them 3
themselves 1
there 1
thereby 1
these 1
they 1
this 2
those 1
thought 4
thoughthad 1
through 1
throws 1
time 1
times 1
to 19
top 1
touted 1
towards 1
tradition 1
traditional 1
treated 1
treating 1
tries 1
truth 2
try 1
umpires 1
under 1
understood 1
unerotic 1
united 1
universities 1
university 3
upon 1
urging 1
valued 1
view 1
void 1
was 2
wealth 1
weimar 2
western 1
whatever 1
when 1
which 4
white 1
who 4
whom 1
width30em 1
wisdom 1
with 3
work 1
would 1
yearn 1
young 2
zappa 1
