3727530
/m/09xlh_
/m/09xlh_
Martin Amis
1997-10-02
{"/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction"}
a 14
abuse 1
abused 1
abusive 1
academic 1
accept 1
affairs 1
after 1
against 1
age 1
alcohol 1
alcoholic 1
american 1
an 3
and 6
apparent 1
are 2
as 3
asks 1
assets 1
astrophysicist 1
astute 1
at 3
attempting 1
attempts 1
bar 2
based 1
beautiful 2
becomes 1
been 1
before 2
behest 1
benefit 1
bleakness 1
blinds 2
book 2
boss 1
breaking 1
but 1
by 1
chaos 1
charged 1
cheerful 1
child 1
city 1
closure 1
clues 1
colonel 1
communicate 1
concern 1
concludes 1
condition 1
confessing 1
cosmology 1
criminals 1
daughter 1
death 1
deduces 1
deliberately 1
demanding 1
despite 1
detective 4
disadvantages 1
discovers 1
distinguished 1
down 1
either 1
examine 1
experiences 1
expresses 1
factors 1
fails 1
father 1
faulkner 2
female 1
finding 1
findings 1
for 5
forces 1
former 2
friend 1
from 2
gender 1
greater 1
had 2
has 1
have 1
heads 1
her 11
herself 1
his 2
homicide 1
hoolihan 6
hotel 1
human 1
illness 1
immediately 1
in 3
indicate 1
intelligent 1
into 1
investigate 1
investigation 1
investigator 1
is 3
jennifer 7
kill 2
knowing 1
lead 1
less 2
life 2
lithium 1
lives 1
local 1
lover 1
made 1
man 1
meant 1
men 1
mentor 1
merely 1
met 1
mike 1
mistakes 1
motivation 1
motive 1
murdering 1
named 1
nearest 1
nihilism 1
no 2
number 1
obese 1
obvious 1
of 10
on 2
or 5
own 1
perfect 1
personal 1
perspective 1
philandering 1
planted 1
police 1
popular 1
portland 1
possible 1
pressure 1
presumably 1
provide 1
pursued 1
reason 2
recovering 1
relation 1
reveals 1
revolted 1
rockwell 4
roles 1
salesman 1
seattle 1
seemingly 1
seems 1
seizing 1
sense 1
sexually 1
she 5
shortly 1
successful 1
suicide 3
suspects 1
taking 2
task 1
ten 1
that 6
the 13
their 1
thematically 1
then 2
theory 1
these 2
this 2
to 10
tobe 1
told 1
tom 1
touches 1
trader 1
uncharacteristic 1
unnamed 1
unworthy 1
violently 1
was 1
while 1
who 4
will 1
with 5
woman 1
work 3
