5621134
/m/0dwrh3
/m/0dwrh3
Douglas Niles

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
1 1
24 1
30 1
37 1
a 8
about 1
after 3
alex 1
aliens 1
all 1
also 2
although 1
america 1
americans 1
amount 1
an 1
and 20
antarctica 1
any 1
anything 1
appear 1
appears 1
are 3
armed 1
armored 1
army 2
around 1
artillery 1
as 2
at 1
attack 2
attacks 1
bacteria 1
baffle 1
battle 1
beamlike 1
becomes 2
bomb 1
bombing 1
bravely 1
breadbased 1
breathe 1
burn 1
but 3
by 1
canister 1
canisters 2
cars 1
casualty 1
causing 1
centers 1
circuitry 1
communicated 1
computer 1
contact 1
contain 1
continue 1
covers 1
crash 1
day 1
deal 1
death 1
delay 1
destroy 2
destruction 1
devane 2
discovered 1
division 1
doctors 1
doing 1
down 1
earth 4
effect 2
effectively 1
electromagnetic 1
electronics 1
eleven 1
emp 1
emps 1
eurasia 1
every 2
exit 1
experimentation 1
face 1
fights 1
fire 1
first 4
flashes 2
for 2
further 1
gas 1
get 1
group 1
have 2
heading 1
headquarters 1
held 1
hit 1
hours 1
immobilizing 1
impact 1
in 3
infantry 2
invasion 2
investigate 2
ironically 1
is 4
it 1
kill 1
knocks 1
known 1
landers 1
large 1
lasers 1
lasts 1
later 1
leads 1
legs 1
lethal 1
loses 2
major 1
markus 1
mars 2
martian 3
martians 4
means 1
million 1
minutes 2
mold 1
most 1
nasa 1
nature 1
no 2
north 1
nuclear 1
objects 4
of 7
on 5
once 1
only 1
opens 1
out 4
penicillinantibiotic 1
planes 1
plummet 1
poison 1
population 1
proves 1
pulse 4
put 1
quickly 1
rallies 1
release 1
remaining 1
remote 1
ring 1
rover 1
sake 1
saucers 1
scientists 2
second 1
seem 2
seems 1
sends 2
sent 1
series 1
shuttle 1
simply 1
slight 1
smell 1
so 1
solution 1
sophisticated 1
space 1
speculate 1
states 1
stop 2
stopped 1
strange 1
strategically 1
successful 1
survivors 1
tanks 1
that 3
the 32
they 6
third 1
this 2
thrive 1
through 1
to 13
touch 1
towards 1
tractor 1
tries 1
try 1
united 1
until 1
up 1
upon 1
us 1
vision 1
volt 1
weapon 2
what 1
which 3
will 1
with 4
world 1
