12342159
/m/02v_vzq
/m/02v_vzq
Sinclair Ross
1941
a 14
absurd 1
admiringly 1
adopt 2
affections 2
after 1
an 1
and 10
another 1
apart 1
apparently 1
appears 1
applause 1
appreciative 1
are 3
arrangement 1
artists 1
as 7
assuming 1
attempt 1
audience 1
basis 1
become 1
becoming 1
bentley 7
bentleys 1
birth 1
bookstore 1
boys 1
bravura 1
but 3
cannot 1
catholic 1
child 3
church 1
city 2
clear 1
conflicted 1
congregation 2
contempt 2
couple 1
deliver 1
depression 1
desire 1
despairs 1
diary 1
dies 1
dream 1
dreams 1
efforts 2
engages 1
entertained 1
entries 1
escape 1
establishing 1
evasive 1
eventually 1
ever 1
falls 1
feelings 1
first 1
flock 1
for 6
friendship 1
from 2
frustrated 1
fulfil 1
giving 1
great 1
hall 1
has 4
he 2
her 14
herself 1
his 1
horizon 1
hostile 1
however 1
husband 4
in 5
increasingly 1
insists 1
is 7
it 2
journal 2
judith 2
just 2
learn 1
life 1
like 1
listening 1
local 1
lurk 1
manse 1
means 1
middle 1
midsized 1
ministers 1
more 1
mostly 1
move 1
moved 1
moving 1
mrs 7
much 1
music 1
mysteriously 1
name 1
neighbourhood 1
never 1
nothing 2
of 10
on 1
or 1
outside 1
over 1
painting 1
passion 1
patently 1
paul 1
performance 1
philip 4
philistine 1
philologist 1
pianist 1
piano 2
plain 1
practise 1
prairie 1
pregnant 1
prepare 1
pressure 1
protestant 1
putatively 1
recital 1
records 1
regular 1
remote 1
schoolteacher 1
scornful 1
secondhand 1
seems 1
sees 1
she 5
shortly 1
sketching 1
small 2
span 1
spends 1
steve 1
strikes 1
subtly 1
success 1
suspects 1
tells 1
that 3
the 11
their 2
them 1
there 1
they 3
this 1
time 2
to 9
town 3
unappealing 1
under 1
unmoved 1
up 1
vastly 1
we 1
which 1
while 1
who 3
whose 1
wife 1
win 1
with 1
withstand 1
writes 1
year 1
yet 2
youth 1
