216311
/m/01fnzb
/m/01fnzb
Anthony Trollope
1864
a 5
accepts 1
adolphus 2
after 1
alexandrina 1
all 1
allington 2
allocated 1
an 1
and 5
appearance 1
archdeacon 1
as 2
at 2
bachelor 1
barsetshire 1
been 1
bell 3
bernard 2
by 2
career 1
characters 1
christopher 1
chronicles 1
circle 1
clerk 1
concerns 1
contains 1
contemplates 1
continuing 1
courcy 1
cousin 1
crofts 2
crosbie 2
dale 4
dalliance 1
daughter 1
daughters 1
de 1
died 1
dismay 1
doctor 1
dowager 1
dower 1
dr 1
dumbello 1
eames 3
earlier 1
estate 1
faithful 1
family 2
favour 1
first 1
for 2
free 1
friendship 1
from 1
further 1
grantly 1
griselda 1
handsome 1
has 2
having 1
he 2
her 4
him 1
his 4
house 4
in 6
income 1
instance 1
intended 1
into 1
introduced 2
is 4
isabella 1
james 1
jilts 1
john 2
junior 1
lady 2
landowner 1
lilian 1
lily 4
live 1
local 1
long 1
love 1
loved 1
makes 1
many 1
marriage 2
marries 1
meets 1
mercenary 1
minor 1
misfortune 1
mother 2
nephew 1
novels 1
nowmarried 1
numerous 1
of 10
offer 1
office 1
one 1
owner 1
palliser 1
pallisers 1
patience 1
personable 1
plantagenet 1
portionless 1
position 1
proposes 1
rashly 1
refusing 1
reject 1
remains 1
rent 1
retaining 1
secretly 1
series 1
single 1
sisterinlaw 1
small 3
somewhat 1
soon 1
squire 2
subplots 1
tax 1
the 19
this 2
though 1
time 1
to 5
trollope 1
while 1
who 2
whose 1
widowed 2
with 4
