5693089
/m/0d_g7s
/m/0d_g7s
Morris Gleitzman
1990
a 10
about 1
accept 1
adult 1
after 3
again 3
aids 1
airport 1
alistair 7
allow 1
also 1
america 4
an 3
and 14
appreciation 1
are 2
arrival 1
arrives 1
at 2
attempts 1
aunt 4
australia 1
australian 1
back 7
baked 1
be 1
beans 1
beaten 1
because 2
been 1
blamed 1
board 1
bob 2
both 1
breaking 1
bringing 1
but 3
by 3
called 1
can 3
cancer 5
cargo 1
cars 1
caught 1
cheer 1
claiming 1
cold 1
colin 32
come 1
conversation 1
convinces 1
convincing 1
couple 2
crying 1
cure 1
day 3
decides 2
delay 1
died 1
difficulty 1
dinner 1
discourages 1
disliked 1
distraught 1
doctor 3
doctors 2
dying 2
either 1
ends 1
enjoying 1
evening 1
everything 1
experts 1
family 2
fate 1
favourite 1
finding 1
finds 3
food 1
for 5
forbids 1
forms 1
found 1
friend 2
from 2
gives 2
go 3
goes 3
goodbyes 1
graham 2
greatly 1
griff 8
group 1
guardian 1
happily 1
hard 1
harder 1
has 3
having 1
he 13
help 2
him 12
his 10
home 3
homosexual 1
hospital 4
house 4
idea 1
in 5
incurable 1
informs 1
injured 1
instead 1
introduce 1
iris 4
is 9
it 2
join 1
later 1
leading 1
leaves 1
let 1
letter 1
lobby 1
lover 1
luke 6
made 1
man 1
may 1
meet 1
meets 4
moderately 1
money 1
morning 1
much 2
named 1
next 4
not 2
nurse 1
oand 1
of 6
off 2
on 3
one 2
only 1
out 5
people 1
plan 1
plane 2
pocketknife 1
promises 1
provide 1
recent 1
recession 1
refuses 1
requests 3
return 1
reuniting 1
say 1
see 4
seeing 1
seen 1
sentenced 1
she 4
ship 1
shouts 1
show 1
signs 1
slash 1
sneak 1
sneaks 1
so 5
south 4
spare 1
speaks 1
spending 1
storms 1
story 1
stowaway 1
street 1
struggling 1
sydney 2
take 1
taken 1
takes 2
tangarines 1
ted 17
television 1
telling 1
tells 6
terminal 1
thank 1
that 16
the 22
their 3
them 2
then 3
they 5
this 1
ticket 1
to 33
travels 1
trip 1
try 1
unable 1
uncle 1
unknown 1
unless 1
until 2
up 7
upon 1
used 1
using 1
visit 4
waking 1
walk 2
walks 1
ward 1
was 1
watching 1
welsh 1
wheelchair 2
when 2
where 3
which 2
while 2
who 3
will 3
with 6
world 1
youngest 1
