31287453
/m/0gjb7_s
/m/0gjb7_s
Lee Carlson

a 21
about 2
acceptance 1
accident 1
affirmation 1
again 1
also 1
and 16
are 1
as 4
aspects 2
at 2
aunt 1
author 1
away 1
back 1
bahamas 1
basement 1
beautiful 1
been 1
begins 1
below 1
bleeding 1
boat 1
boatyard 1
book 5
brain 4
brief 1
brotherinlaw 2
buddhist 1
buffalo 1
bulk 1
buy 1
by 3
cancer 1
car 2
care 1
carlson 3
center 1
childhood 1
children 4
collection 1
coma 1
concentrates 1
creating 1
damage 1
decide 1
depressing 1
describe 1
dies 2
difficult 2
difficulties 1
disabled 1
discover 1
divorce 1
does 1
dogs 1
down 1
during 1
eastern 2
end 1
essays 1
evaporated 1
events 1
eventually 3
every 1
fall 1
family 1
feed 1
fell 1
flight 1
florida 3
follows 1
for 3
fork 1
four 1
fracturing 1
from 2
happening 1
has 5
he 6
head 1
heal 1
healing 1
help 1
helping 1
helps 1
her 4
herself 1
him 3
his 15
hit 1
home 1
hospital 1
hospitalization 1
however 1
in 10
information 1
injury 3
into 1
is 8
island 3
joined 1
lapsing 1
left 1
life 5
light 1
long 3
love 1
martin 1
matthiessen 2
may 1
meditation 2
meets 1
misfortunes 1
morbid 1
more 2
most 1
mother 3
moved 1
much 1
named 1
new 2
nirvana 3
no 1
north 1
noted 1
ocean 1
of 14
on 6
or 1
other 1
outside 1
over 1
own 2
passage 1
pavement 1
peter 1
philosophy 1
pile 1
place 1
plot 1
positive 1
raising 1
real 1
really 1
rebuild 1
rebuilding 1
recalling 1
reflections 1
rehab 1
renovate 1
return 1
returning 1
returns 1
rotting 1
run 1
sabbatical 1
sail 2
sailboat 1
scratch 1
section 1
sections 1
see 1
seem 1
severely 1
shattered 1
she 2
short 1
single 1
sister 1
skull 1
some 4
sound 1
spiritual 1
st 1
stairs 1
standing 1
start 1
stories 1
story 1
striking 1
studies 1
style 1
sustained 1
sustaining 1
take 1
talk 1
teacher 1
that 1
the 20
their 2
then 2
they 5
this 1
thought 1
through 2
time 1
to 13
traumatic 3
tries 1
trying 1
turn 1
two 2
unable 1
understanding 1
unique 1
uplifting 1
upon 1
various 1
violently 1
walk 1
was 2
wash 1
way 1
wheelchair 1
when 2
where 3
while 3
who 2
wife 1
winter 1
with 4
woman 1
work 1
working 2
writer 1
writing 2
written 1
year 1
yearlong 1
zen 3
zendo 1
