5713852
/m/0f0r28
/m/0f0r28
Tamora Pierce
1988
a 17
abilities 1
accompany 2
affair 1
after 2
against 1
agree 1
agrees 1
alanna 27
alex 2
all 3
also 3
always 1
among 1
amusement 1
an 2
and 47
announcement 1
anyway 1
apart 1
ape 1
archenemy 1
are 2
armies 1
arrogant 1
as 3
asleep 1
at 1
back 2
backfires 1
battles 2
bazhir 3
be 2
bearing 1
beautiful 1
been 5
before 1
befriends 1
begin 1
begins 1
berat 1
bespells 1
best 1
between 1
black 1
blessing 1
blizzard 1
blizzards 1
blocked 1
body 1
break 1
briefly 1
bring 1
brother 4
buri 1
buriram 1
but 3
by 5
can 1
captured 1
cat 1
caught 1
cementing 1
ceremony 1
champion 2
chapter 1
child 1
chitral 3
civil 1
claim 1
clashing 1
clear 1
colors 1
committed 1
confesses 2
confronts 1
coram 2
coronation 2
country 2
court 1
crossroad 1
crowned 1
cursed 1
dark 1
dead 4
death 1
defeated 1
delia 2
despite 1
destroying 1
detain 1
died 1
dies 2
dominion 2
down 1
dragon 1
drained 1
dreams 1
due 1
during 1
easy 1
effort 1
either 1
eldorne 2
elemental 1
en 1
encounter 1
encounters 1
end 1
ends 1
enemies 1
energy 1
engagement 2
enough 1
eve 1
evil 1
faithful 2
falls 1
famine 1
far 1
father 1
fear 1
female 1
fight 1
fighters 1
fighting 1
finds 3
first 2
for 7
forever 1
form 1
friend 2
friends 6
from 5
frozen 1
fueled 1
furious 1
george 6
gift 1
give 1
gives 2
giving 1
go 1
goddess 1
goldenlake 1
great 1
griefstricken 1
grieve 1
group 2
growing 1
gruff 1
had 1
halfdead 1
hands 1
happy 1
has 5
hatred 1
haughty 1
have 1
having 1
he 10
head 1
helpless 1
her 36
herself 1
hidden 1
hiding 1
him 3
his 10
history 1
holds 1
home 1
hotel 1
ill 1
in 15
including 1
insurgents 2
into 1
ironarm 1
is 14
it 4
jewel 7
jin 1
join 1
jon 1
jonathan 10
kalasin 1
keep 1
kill 1
killed 3
killing 1
kills 1
king 4
kiss 1
kmir 2
kmiri 2
knew 1
knowing 1
knows 1
lady 2
later 1
leave 1
legendary 1
lets 1
letter 1
liam 8
lianne 1
life 1
lifeforce 1
lightning 1
live 1
looks 1
lord 2
love 2
loves 2
made 1
magic 1
magical 4
make 1
man 1
manservant 1
marriage 1
marry 1
meanwhile 3
meets 2
midst 1
more 1
most 3
mother 1
mountain 3
mystic 1
mystical 1
names 1
native 1
near 1
never 2
news 1
not 2
nothing 1
obtain 1
of 21
off 2
old 2
on 5
once 1
one 1
only 1
or 1
others 1
out 1
overthrow 1
own 3
palace 1
part 2
pass 2
passes 1
people 2
persecute 1
persecution 1
place 2
plotting 1
poisoned 1
powerful 2
powers 1
princess 1
protect 1
protecting 1
protector 1
prove 1
provide 1
put 1
quartet 1
queen 1
quest 3
rage 1
raised 1
raoul 1
rapidly 1
reaching 1
realizes 1
realm 1
rebellion 1
reign 1
remain 1
renew 2
resisting 1
rest 1
return 1
returns 1
right 1
ripped 1
rival 1
roger 7
romance 2
roof 2
route 1
ruler 1
rulers 1
sarain 1
saren 1
says 1
seeking 1
sees 1
series 1
severe 1
shaman 1
shang 3
she 13
sheer 1
side 1
so 1
soon 1
sorcerer 1
spell 2
still 1
stone 1
stop 1
stopping 1
stops 1
storm 1
strange 1
strongest 2
stumble 1
suicide 1
sure 1
suspects 1
sword 3
takes 2
teacher 1
tells 1
tempers 1
than 1
that 12
thayet 7
the 63
their 5
them 1
there 1
they 2
things 1
this 1
thom 4
though 1
throne 1
through 1
time 2
tirragen 2
to 30
together 1
tortall 3
tourokom 1
travelers 1
travels 1
treats 1
tribe 1
tribes 1
tries 1
turmoil 1
two 1
untold 1
up 2
upcoming 1
upon 1
uses 1
ventures 1
vicious 2
visit 1
visits 2
wakes 1
wants 1
war 2
warlord 3
warns 1
wartorn 1
was 2
wearing 1
were 1
when 7
where 5
while 1
whispering 1
who 10
whose 1
wife 2
wildcat 1
wilima 1
will 2
wish 1
witched 1
with 6
woman 1
world 3
worst 1
wounded 1
written 1
