385678
/m/0224pt
/m/0224pt
Kurt Vonnegut
1965
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
35 1
a 6
across 2
after 1
along 1
america 1
ames 1
an 1
and 4
annual 1
appear 1
as 1
avoid 1
becoming 1
before 1
bit 1
book 1
by 2
calls 1
can 1
character 1
cities 1
conniving 1
county 1
cousins 1
crazy 1
descendants 1
determined 1
distant 1
do 1
drunkenness 1
eliot 2
estate 1
eventually 1
explains 1
family 1
firefighter 1
firm 1
fortune 1
foundation 1
founded 1
french 1
from 1
generous 1
goes 1
going 1
he 2
help 2
him 2
himself 1
his 4
home 1
in 6
indiana 2
insane 1
is 4
island 1
it 2
landing 1
large 1
lawyer 1
leading 1
legal 1
list 1
lister 1
make 1
million 1
money 1
mushari 1
new 1
norman 1
numerous 1
odd 1
of 5
on 1
opening 1
operated 1
out 1
paying 1
pension 1
philanthropists 1
poor 2
portion 1
prove 1
provides 1
relationship 2
reroute 1
restless 1
rhode 1
rosewater 9
senator 2
sets 1
setting 1
shop 1
small 2
so 1
son 1
states 1
story 1
taxes 1
the 11
things 1
this 2
through 1
to 7
town 2
transferring 1
united 1
unwitting 1
up 1
us 1
volunteer 1
was 1
where 1
while 1
wife 1
with 3
york 1
