4654579
/m/0cfp1r
/m/0cfp1r
Yukio Mishima
1971
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10 1
114 1
16yearold 1
170 1
172 1
173 2
174 2
175 2
1th 1
2 1
20 1
22 1
24hour 1
25yearold 1
28 1
3 1
7 1
a 35
abbess 1
about 5
abusing 1
accepted 1
accepts 1
according 1
acquiring 1
admits 1
adopt 2
adopted 1
adopting 1
adopts 1
afflicted 1
after 5
age 1
ago 1
all 3
alone 1
along 1
already 1
also 1
am 1
amazement 1
amusing 1
an 4
analyses 1
and 49
angel 1
angels 1
announces 2
anyone 1
apartment 2
appointment 1
approaches 1
are 2
around 2
aroused 1
arrange 1
as 3
at 13
august 1
authority 1
aware 1
back 3
baffled 1
bath 1
be 2
beautiful 1
because 1
become 1
becomes 2
been 1
before 1
being 2
believes 2
betrayed 1
between 1
blinds 1
board 1
bosses 1
bottom 1
boy 3
breaks 1
brink 1
built 1
bus 2
but 3
by 8
calls 2
canal 1
canasta 1
cannot 1
car 1
casts 1
caught 1
century 1
ch 1
chan 1
chapter 1
cheerfully 1
christmas 1
claims 2
coast 1
coffeehouse 2
commit 1
companion 1
concludes 1
contact 1
conversation 2
cottage 1
couples 1
culture 1
cynicism 1
dance 1
daughter 1
day 2
days 3
dead 1
death 1
december 2
decides 1
declared 1
delivered 1
demands 1
demure 1
desolate 1
detectives 1
devoted 1
diary 2
dictates 1
die 1
died 1
difficulties 1
dinner 1
discovers 1
dislike 1
disliked 1
dismissal 1
displays 1
do 1
does 3
drawn 1
dream 2
dreams 1
drinking 1
drive 1
drops 1
during 1
dying 1
eager 1
early 1
easily 1
employed 1
end 1
ends 1
engineers 1
enters 1
especially 1
europe 1
eventually 1
every 1
everything 1
explained 1
explains 2
fact 1
fake 1
families 1
family 1
farmer 1
feathers 1
february 1
feeling 1
feels 1
few 1
financial 1
finishes 1
first 2
fisherman 1
flying 1
for 10
fraud 1
freely 1
freezer 1
friend 1
friends 1
from 4
full 1
furious 1
furusawa 1
garden 2
gessh 1
get 1
getting 1
giant 1
girl 1
girlfriend 1
gives 3
go 4
goes 3
gogo 1
gone 1
grove 2
guessed 1
guest 1
guile 1
guilt 1
had 2
hall 1
hamanaka 1
happily 1
harbour 2
harbourside 1
has 9
have 5
he 24
heads 1
her 18
herself 1
high 1
him 14
his 19
hold 1
holes 1
holiday 1
home 5
honda 27
hong 2
hopes 1
hospital 1
hostile 1
hotel 1
house 2
housekeeper 1
how 1
hurt 1
hut 1
i 1
identifying 1
if 1
in 27
incident 1
incredibly 1
inculcate 1
innocuous 1
inside 1
insists 1
inspire 1
intention 2
interpretation 1
intimidates 1
into 5
investigated 1
is 27
isao 1
it 14
izu 1
japanese 1
jealous 1
jealousy 1
jirch 1
judge 1
july 1
just 1
keiko 6
kinue 5
kiyoaki 6
knew 1
knowledge 1
komagoe 1
krakuen 1
lacked 1
late 2
later 4
leave 1
left 1
lesbian 1
lessons 1
letter 4
lie 1
life 1
like 1
literature 1
local 1
long 1
look 2
loses 1
mad 1
made 1
maids 2
majority 1
make 2
makes 3
manners 1
marriage 2
marry 1
may 1
medallion 2
meeting 1
men 1
mentions 1
methanol 1
midnight 1
miho 2
mind 1
mio 1
miss 1
moles 3
molested 1
momoko 9
money 2
monogram 1
month 1
months 2
more 1
motivation 1
motivations 1
moved 1
moves 1
moving 1
must 2
n 1
nagisa 7
name 1
nature 1
needs 1
never 1
newspapers 1
night 1
nihondaira 1
no 1
noone 1
not 4
nothing 1
notice 1
notices 1
notifying 1
novel 1
november 1
now 1
october 2
of 17
off 3
offices 1
old 1
on 17
only 4
opens 1
or 1
order 1
orphan 1
orphaned 1
other 1
over 1
pains 1
painted 1
parable 1
park 1
parties 1
party 1
passing 1
past 1
peninsula 1
perhaps 1
photoalbums 1
picks 1
picture 1
pine 3
platform 1
platonic 1
political 1
post 1
power 1
premature 1
preoccupied 1
pretences 1
previous 1
progresses 1
promise 1
protect 1
realises 2
receiving 1
reincarnation 2
reincarnations 1
relationship 1
relishing 1
reluctantly 1
replies 1
retired 1
returns 1
reveals 1
rie 1
robe 2
room 2
same 1
satisfaction 1
satoko 1
saturday 1
saw 2
school 2
schoolfriend 1
seascape 1
second 1
secondhand 1
secretly 1
see 2
seen 1
sees 1
send 1
senile 1
september 1
several 2
sex 1
she 6
shift 2
shigekuni 1
shimizu 3
shimoda 1
ships 1
shore 1
shoreline 1
shows 1
shrine 1
side 1
signal 1
signalman 1
significance 1
since 1
single 1
skills 1
snatches 1
so 2
social 1
son 1
spending 1
spends 1
spring 2
spying 1
station 1
sticking 1
stole 1
stop 1
story 4
strangely 1
strawberry 1
study 1
successive 1
suddenly 1
suicide 2
superficial 1
superintendent 1
supposedly 1
survives 1
swimming 1
table 1
taken 1
takes 4
talking 1
tank 1
teenage 1
telescope 1
tell 1
tells 3
temple 1
that 25
the 54
their 5
them 1
then 1
there 2
they 9
third 2
this 3
three 2
through 3
throws 2
time 2
to 37
together 2
top 1
touristtrap 1
travelling 1
tries 2
trouble 1
tru 29
true 1
try 1
tutor 1
tutors 1
two 3
undershirt 1
university 1
until 1
up 2
vegetables 1
victim 1
violent 1
visit 2
visited 3
walking 1
was 2
water 2
way 2
we 1
wearing 1
were 1
when 1
where 1
which 2
while 1
who 6
whole 1
whom 1
wife 2
with 8
working 1
works 1
yasunaga 2
year 1
ying 1
yokohama 1
zeami 1
