4206153
/m/0bpy44
/m/0bpy44
Leigh Brackett
1964
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/09kqc": "Humour"}
1 2
10 2
11 2
12 2
13 1
14 1
148 1
2 1
3 1
4 1
5 2
6 1
7 1
8 3
a 50
about 2
accept 2
accepts 2
accusation 1
accused 1
accuses 2
acquired 1
across 1
act 1
actually 1
addicts 1
address 1
addresses 1
admits 1
advantage 1
after 3
against 2
agent 1
agents 1
ago 1
agrees 3
alive 1
all 1
allies 1
almost 1
also 3
an 10
ancient 2
and 94
angry 1
announcing 1
anyway 1
apart 1
appears 3
arabic 1
are 11
armies 4
army 1
arrests 1
arrival 1
arrive 2
arrived 1
arrives 1
as 14
ashton 6
asks 2
assembled 1
assumption 1
at 13
atavistic 1
attack 1
attacked 1
attacks 2
attempts 1
awakes 4
back 7
backs 1
banner 1
barbarian 1
be 7
beastjewel 1
beat 1
become 3
been 3
before 5
behalf 1
behind 1
being 1
below 2
berild 46
bestial 1
blood 1
blows 1
blurt 1
body 6
bonds 1
borders 1
both 2
boy 2
brackett 4
break 1
brief 1
bring 1
brokendown 1
but 11
by 12
called 1
camped 1
can 1
captains 1
caravan 2
catacombs 4
cell 3
certain 1
challenge 1
chamber 2
chance 1
chapter 23
chapters 1
charade 3
circlets 1
cities 1
city 6
citystates 3
claims 2
clients 1
coached 1
collapse 1
collapses 2
come 2
comes 1
companies 1
companion 1
comradeinarms 1
concept 1
concern 1
condemns 1
confederates 1
confer 1
confronts 1
conquer 1
conquest 1
consciousness 2
consistently 1
contains 1
continues 1
control 3
council 2
councilroom 1
crossed 1
crowns 6
crypt 2
crystal 1
cut 1
danger 1
dawn 2
day 2
days 5
dead 2
deal 1
decides 2
deduces 1
delgaun 36
demand 1
demonstrates 1
departs 2
dependent 1
depriving 1
describes 1
desert 6
deserted 1
destroy 1
destroys 1
did 1
dies 2
differences 1
disastrous 1
discover 1
discovered 1
discovers 1
dismisses 3
dispose 1
disposes 2
disposing 1
dive 1
diverge 1
do 2
does 2
down 2
draws 1
drink 1
drops 1
drugged 1
drums 1
drunk 1
dryland 3
drylanders 6
drylands 2
dusk 2
dying 2
each 2
earlier 1
earth 1
elaborate 1
elsewhere 1
empire 2
empty 2
encamped 1
enemy 1
enter 1
enters 4
entrance 1
eric 1
events 1
evil 1
exchanging 1
excuse 1
expansion 1
explains 4
explanation 1
explanations 1
explicit 1
expresses 2
extraction 1
false 1
familiar 1
fatally 1
father 1
fellowfollower 1
female 1
fianna 19
fight 2
fighters 2
fighting 4
finally 1
find 5
finds 8
first 1
flee 2
fleeing 1
followed 1
follows 1
foot 1
for 18
forces 1
form 1
four 1
fourth 1
frees 2
freka 14
from 15
front 1
fully 1
gathering 1
girl 1
glowing 1
go 2
goes 8
going 1
gone 1
grasps 1
grounds 1
guard 2
guarded 1
guns 1
had 4
has 7
have 5
having 1
he 23
headquarters 2
heads 1
help 2
her 8
herself 1
hidden 1
high 2
him 23
himself 3
hints 1
hired 1
his 22
hit 1
how 1
humans 1
hypnosis 1
hypnotic 1
identical 1
if 1
immortal 1
immortality 1
in 44
inconsequential 1
independent 1
indulging 2
infighting 1
influence 1
inserted 1
instead 1
intend 1
interested 1
into 6
invites 1
involved 1
is 31
it 5
itself 1
john 1
jump 1
jumps 1
justifies 1
kala 4
keeps 1
khamsin 1
kill 1
killed 1
kills 3
knew 2
knife 2
knocked 1
knocks 2
know 1
kynon 46
language 1
late 3
later 3
leader 2
leading 1
leads 6
leave 5
leaves 4
ledge 2
leigh 1
lie 1
lies 1
life 2
lifting 1
like 1
location 2
locks 1
longburied 2
looking 3
lord 1
loses 1
lost 2
lover 1
lowcanal 1
lowcanals 1
luhar 12
made 1
major 1
make 2
man 3
march 1
mars 4
martian 6
martians 1
massed 1
may 1
meet 2
meets 2
memory 1
men 1
mentioned 1
mercenaries 6
mercenary 2
middle 1
midnight 2
might 1
miles 2
mind 3
minds 2
mineral 1
mining 2
miraculously 1
mistake 1
monastery 1
more 2
mostly 1
murdering 1
must 2
mysteriously 1
native 1
near 1
necessity 1
needs 1
next 2
night 3
nonterran 1
not 9
novel 1
novels 1
of 72
offering 1
offers 2
old 6
on 10
one 2
only 1
open 1
opponents 1
or 2
orders 1
other 4
others 1
out 10
outlander 1
outside 3
own 3
palace 2
paragraph 1
part 3
pass 1
past 1
perhaps 2
pinned 1
pit 2
place 1
places 1
planet 1
planets 1
plans 2
pleased 1
plot 2
plotting 1
poison 1
police 1
portion 1
prehistoric 1
preparing 1
presence 1
pretending 1
prevent 1
prevents 1
private 1
privately 1
probably 1
proceed 3
proceeds 1
produces 1
public 1
punish 1
puts 1
putting 1
quarters 1
queen 1
race 1
radiationinduced 1
rama 8
ramas 11
reached 1
reader 1
readers 2
reading 1
real 2
realizes 1
really 1
recovered 1
recur 1
reference 1
refused 1
refuses 2
regard 1
regression 1
remain 1
remains 1
remorse 1
repeatedly 1
replaced 1
report 1
resentment 1
resources 1
return 2
returns 4
reveal 1
reveals 4
rewrite 1
rocks 1
rod 2
room 4
ruin 1
ruined 1
ruins 2
running 2
runs 1
sandstorm 1
says 2
secret 4
secrets 1
see 2
seeding 1
sees 1
sendingon 2
sentence 1
separates 1
serving 1
set 2
sets 1
seven 1
several 1
shanga 3
she 20
shoots 2
shun 3
shunni 3
simon 3
sinharat 20
site 1
situate 1
slashes 1
sleep 1
sleeps 1
slept 1
small 1
smooth 1
solar 1
spy 1
square 1
stabbed 1
stabs 2
stairway 1
stark 74
starkaskynon 1
state 1
statement 1
stay 4
steed 1
steps 1
still 2
stop 1
stopped 1
stories 2
storm 3
story 2
subterranean 1
suddenly 1
suggests 2
surprised 1
surviving 2
sword 2
system 1
taboo 1
take 1
takes 1
tarak 3
technical 1
technology 1
telling 1
