13747966
/m/03ch00_
/m/03ch00_
Michael Ledwidge
2008-07-21
1 2
10 1
100 1
13 1
3 1
6 1
a 28
abducted 1
abductions 1
about 1
access 1
achilles 1
actually 1
addition 1
after 13
again 3
agent 1
alien 5
all 2
allison 3
allows 1
almostperfect 1
along 1
alpar 2
also 3
an 5
and 33
angeles 1
another 1
are 2
arrives 1
as 6
asks 1
asleep 1
at 4
attacked 1
attacking 1
avoid 1
awakens 1
away 1
back 2
be 2
because 3
been 4
before 1
begin 1
believe 1
best 1
blaleen 1
brenda 1
bridge 1
brutally 1
building 1
bullet 1
bumps 1
burning 1
but 3
by 9
called 1
calls 1
came 1
camping 1
can 2
car 1
case 1
cats 2
cell 1
center 1
changed 1
charge 1
childslave 1
chop 2
circle 1
city 1
closet 1
clues 1
coffee 1
collapsed 1
come 1
comes 1
command 1
comparing 1
compassionate 1
competitive 1
compromised 1
confronted 1
confronts 1
conjured 1
connectthedots 1
contacted 1
continues 1
cook 1
create 3
created 2
creates 2
dana 1
daniel 37
date 1
day 7
deactivates 1
death 1
decides 2
defeats 1
defend 1
defender 1
describes 1
desert 1
destroyed 1
details 1
detection 1
didnt 1
died 1
disappearance 1
disguise 1
distinct 1
dont 1
drags 1
dreadlock 1
driveway 1
drugdealing 1
duration 1
during 2
duty 1
ear 1
earth 5
eater 1
elephant 1
emma 1
end 1
enters 1
environmentalist 1
ergent 2
escapes 2
eventually 1
ever 1
extra 1
faces 1
family 1
feels 2
fell 1
few 2
fifteenyearold 1
fight 3
fighter 1
figures 1
file 1
find 1
finds 3
first 1
fled 1
flee 1
flees 1
flies 1
flip 1
flunks 1
following 3
for 5
form 1
forming 1
friends 3
from 7
game 1
get 1
gives 1
go 6
goes 4
going 1
gone 1
grandmother 1
granted 1
grasping 1
grip 1
had 3
hair 1
hand 1
has 10
haunted 1
have 1
he 38
head 2
headstrong 1
heal 1
hector 1
help 2
henchmen 2
her 9
herself 1
him 12
his 32
history 1
home 3
homer 1
homeworld 1
hopes 1
hour 1
house 5
human 1
hurries 1
ideas 1
ignores 1
iliad 1
impoverishing 1
in 18
incapacitating 1
including 1
inhabitants 1
inside 1
instantly 1
intentionally 1
into 7
investigate 1
is 17
it 7
its 1
jllfgna 1
joe 1
juvenile 1
keeping 1
kill 2
killed 3
killing 2
knowledge 1
la 6
lackey 1
landing 1
last 1
later 2
leave 2
leaves 2
lets 1
life 2
lifethe 1
list 4
literally 1
live 1
long 1
los 1
lost 1
love 1
makes 1
malibu 3
mantislike 1
many 1
may 1
meets 1
memory 2
menelaus 1
message 1
miles 1
mind 3
misquotes 1
missing 1
momonly 1
months 1
morning 1
most 1
mother 1
motormouth 1
murder 1
murdered 1
name 1
named 1
near 1
necessary 1
never 3
new 1
next 4
night 3
nightmares 1
no 1
nok 2
not 4
number 3
nursery 1
objects 1
of 28
off 2
old 1
on 9
one 2
oneonone 1
only 3
onto 1
operation 2
or 2
oregon 1
orkng 1
other 2
out 3
outlaws 1
outran 1
over 2
own 1
parents 9
paris 1
party 1
pattern 1
pentecostal 1
people 1
per 1
phoebe 10
planet 2
plot 1
poker 1
pork 2
portland 2
power 2
powers 2
prayer 8
praying 1
preacher 1
pregnant 1
purposely 1
put 1
rather 1
real 1
reason 1
reconnaissance 1
recover 1
regaining 1
regents 1
removes 1
rents 1
resides 1
rest 1
return 1
returned 1
returns 1
revealing 1
runaway 1
runs 1
school 8
schools 1
search 3
secret 1
seem 1
seth 17
sewers 1
shapeshifting 1
she 4
ship 2
shoots 1
shop 1
similar 1
sister 2
site 1
sleep 1
smart 1
so 2
soldiers 1
some 1
somersault 1
something 2
soon 1
spaceship 1
speculates 1
spend 1
spends 1
stocky 1
stomach 2
strength 1
stumbles 1
subconscious 1
summoned 1
summons 1
superpower 1
superspeed 1
superstrength 1
survived 1
survivors 1
suspects 1
taken 3
talks 1
task 1
telepathically 1
tell 1
terrible 1
test 2
than 1
that 7
the 61
their 1
them 2
then 1
they 5
this 1
thousand 1
through 1
tick 2
to 44
too 1
top 1
toward 1
trace 1
transforming 1
transforms 2
travelling 1
trip 1
truck 1
turns 1
twelve 1
two 1
unborn 1
under 1
unit 1
unsafe 1
up 3
upon 1
using 1
very 1
via 1
vivid 1
vowed 1
walks 2
wants 1
warn 2
warns 2
was 4
way 3
were 1
when 5
where 2
whereabouts 1
which 5
while 1
who 8
whom 1
willy 1
wipes 1
with 7
without 1
woods 1
work 1
working 1
wouldnt 1
wreckage 1
wrong 1
x 2
years 2
