5094787
/m/0d2d__
/m/0d2d__
Paul Gallico

26 1
a 24
aboard 1
about 1
above 1
actions 1
african 1
after 7
age 1
all 1
american 2
an 6
anchor 1
and 32
another 1
are 7
area 1
arent 1
arrival 1
as 4
ascend 1
ashamed 1
at 3
atlantic 1
atlantis 1
attack 1
attempts 1
avoid 1
back 3
bates 1
bathroom 1
batteries 1
be 3
beamer 4
because 1
before 1
begins 1
behind 1
being 2
belle 3
boiler 1
bow 2
boy 3
breaks 2
broadway 2
brother 1
brutally 1
but 2
buzz 1
by 3
calls 1
can 1
capsizes 1
cargocruise 1
caused 1
celebrated 1
chains 1
champion 1
charge 1
child 1
chooses 1
choosing 1
christmas 2
claims 1
climb 3
climbing 1
closet 1
clothes 1
combination 1
comes 1
commits 1
company 1
completely 1
connects 1
consequences 1
contrast 1
converted 1
corridor 3
crew 3
curses 1
cuts 1
dark 1
darkness 1
death 2
debate 1
december 1
decision 1
deck 1
decks 2
denounces 1
detective 1
dick 1
dies 1
difficult 1
dining 2
dinner 1
directly 1
disgust 1
displacing 1
down 1
dreaming 1
during 1
earthquake 1
efforts 1
emergency 1
en 1
ends 1
engine 4
england 2
english 1
experiences 1
explosion 1
fail 1
falling 2
falls 2
fears 1
fellow 1
finally 2
find 5
finds 2
five 1
flashlights 1
flooded 1
follow 2
followers 1
for 5
former 1
formerly 1
forward 1
found 3
fractured 1
frank 1
from 5
galley 1
gallons 1
german 1
get 1
girlfriend 1
give 1
giving 1
go 1
god 1
goes 3
going 1
golden 1
great 1
grief 1
grieves 1
group 9
grows 1
guides 1
had 1
happened 1
has 3
hatred 1
have 4
having 1
hazards 1
he 1
heart 1
hell 1
her 9
him 2
himself 1
his 6
hold 1
hope 1
hopes 1
however 1
hubie 1
hull 3
husband 1
ii 1
impaled 1
in 10
insane 1
intense 1
into 4
intoxicated 1
is 8
it 3
its 2
jane 3
keel 1
killed 1
kinsale 2
kitchen 1
large 1
larger 1
laughs 1
leads 1
leave 2
left 1
legacy 1
length 1
level 1
lifeboats 1
lifted 1
lighting 1
like 1
linda 2
line 1
liner 2
liquor 1
lisbon 1
location 1
lockers 1
longheld 1
look 1
loss 1
luxury 1
maiden 1
make 3
makes 1
manny 2
married 1
martin 2
mary 2
meet 1
member 1
members 1
might 1
mike 3
millions 1
misfortune 1
missing 1
monthlong 1
most 1
mother 1
mount 1
move 2
mr 2
much 2
muller 1
name 1
new 3
nonnie 1
north 1
nothing 1
novel 1
nowhere 1
number 1
ocean 1
of 26
off 2
offers 1
often 1
oil 1
oiler 1
on 9
once 1
one 2
openings 1
or 4
other 3
others 1
out 6
outside 1
over 1
overturned 1
own 1
oxygen 1
painful 1
pamela 4
panic 2
panics 1
parents 1
passage 1
passed 1
piece 1
pit 2
point 1
police 1
ports 1
poseidon 5
posse 1
preacher 1
pregnant 1
propeller 2
put 1
quake 1
quite 1
rage 1
raped 2
reach 2
realizing 1
rebels 1
recentlyacquired 1
refuses 2
rejoins 1
remains 1
remorseful 1
removed 1
rescue 3
rest 2
revelation 1
reverend 5
rising 1
rms 1
robin 4
rocks 1
rogo 5
room 5
rosen 4
route 2
runs 2
sacrifice 1
sailors 1
saloon 1
salvage 1
save 1
scott 5
screams 1
search 2
searching 1
seawater 1
see 3
separate 1
service 1
several 1
shaft 1
shafts 1
sharp 1
she 3
shelby 4
ship 11
ships 1
side 1
silently 1
singleclass 1
sinks 1
small 2
so 1
some 1
son 1
south 1
spinster 1
ss 1
stairway 1
stairways 1
stampede 1
starting 1
stay 1
steel 3
stern 2
stewards 2
still 1
streaked 1
stripped 1
stuck 1
submerged 1
such 1
sudden 1
suddenly 1
suggests 1
suicide 1
supplies 1
supply 1
sure 1
survived 1
survivors 5
susan 5
swims 1
take 1
takes 1
talks 1
team 2
tells 1
terrified 1
that 5
the 82
their 8
them 3
there 1
they 15
thinnest 1
this 2
those 2
through 4
time 1
to 37
tony 1
top 1
tore 1
towards 1
trampled 1
travel 1
tree 1
try 3
trying 1
turk 1
turkey 1
turkish 1
two 1
undersea 1
underwear 1
unstable 1
unwilling 2
up 2
upon 2
upper 1
upsidedown 1
upturned 2
vents 1
ventures 1
visit 1
void 1
voyage 2
waiting 1
wall 1
war 1
was 2
watch 1
water 1
way 3
ways 1
were 1
what 2
when 3
where 3
whether 1
which 3
while 3
whilst 1
who 5
wide 1
will 1
with 6
within 1
without 2
world 1
would 1
wsa 1
york 2
young 3
