25041199
/m/09gp953
/m/09gp953
Chris D'Lacey

10 1
100 1
108 10
20 1
42 1
43 5
a 142
abandoned 1
abbot 1
able 5
abnormal 1
about 28
above 1
accepts 1
access 1
accidentally 3
across 1
act 1
acting 1
acts 1
actually 8
adapt 1
adopted 1
adventure 1
after 16
afterward 1
afterwards 2
again 2
against 3
agawin 9
age 1
aged 4
agent 2
aging 2
ago 1
agree 2
agrees 3
aid 1
alavon 5
aleron 3
alexa 2
alice 1
alicia 2
alive 2
all 22
alliance 1
allowed 1
almighty 1
almost 4
alone 1
along 6
already 3
also 15
alternate 2
alternative 1
although 8
always 1
am 1
ambition 3
an 24
and 314
angel 7
anger 1
angry 2
animals 4
anomaly 1
another 5
answer 2
answers 1
any 4
anything 1
apparently 10
appearand 1
appeared 1
appearing 1
appears 7
arctic 1
are 43
area 1
ark 26
around 10
arrested 1
arrive 2
arrives 3
artifact 1
as 39
aside 2
ask 1
asked 2
asks 15
asleep 1
assess 2
assessed 2
at 36
attack 4
attacked 1
attacks 1
attempt 3
attempting 2
attempts 2
attention 1
aubrey 2
auma 9
aunt 13
aunthood 2
aunts 15
aurielle 24
author 1
aware 2
away 9
azkair 3
azkiar 9
baby 1
back 36
bad 1
balcony 1
basic 1
basically 1
battle 10
battlefield 1
be 41
beacon 4
bear 5
beautiful 1
because 16
become 5
becomes 2
bed 3
bedroom 1
been 10
bees 1
before 14
beginning 1
begins 6
behind 1
being 9
beings 1
believe 4
believed 2
believes 8
below 1
beranard 1
bernard 14
besides 1
better 1
between 4
beware 1
bid 1
bids 1
big 2
bigger 1
bird 9
birds 13
bit 1
bitter 2
black 6
blanket 1
blended 1
block 1
blood 1
blowing 1
boarded 1
boat 4
boats 2
body 9
bomb 2
bone 1
bony 1
book 31
books 14
boon 1
born 1
borrowed 1
both 8
boy 1
brand 1
break 2
breaks 1
breathes 1
breaths 1
briefly 1
bring 5
brings 2
broken 1
brotherton 1
brought 11
building 3
bumps 1
burn 1
burned 1
burning 1
bushley 1
busy 1
but 27
butnnnmy 1
by 32
cage 5
caged 1
call 3
called 7
calling 1
calls 3
calms 1
came 10
can 11
cannot 4
captive 1
capture 1
care 1
carries 1
carving 1
case 1
casket 6
cat 1
cataloging 3
catalogue 1
catch 3
catches 1
cause 2
caused 1
causes 2
cave 3
caves 1
central 3
chain 2
challenges 1
chance 1
change 1
changed 1
changes 3
chapter 1
character 1
characters 1
charles 1
check 3
child 4
childhood 2
circle 1
circling 1
citizens 1
claim 2
claims 2
claw 14
clay 9
clean 1
clearly 1
climb 2
climbs 1
close 3
closely 1
clothes 1
clouds 1
coarse 1
coexist 1
collapses 1
collection 1
colm 1
colonized 1
colony 1
colour 1
come 13
comes 6
coming 1
commingle 3
commingled 1
commingles 1
committed 1
common 2
complete 1
completely 4
computer 2
concerning 2
conclude 2
conclusion 1
condition 1
confirm 1
confirms 1
confronts 1
confused 2
congratulates 1
conker 1
connected 3
connection 2
connections 1
consult 1
consumed 1
contact 1
continue 1
continues 3
control 4
controlled 2
conversation 6
convince 5
cooking 1
copernica 26
corn 1
cornered 1
correct 1
corridors 1
coughing 1
could 6
counsellor 2
cover 2
covered 1
cracked 1
creamcoloured 1
create 1
created 4
creator 5
creatures 2
crest 2
cries 2
critical 1
crops 1
curator 2
curiosity 1
cuts 1
dais 1
daisies 1
daisy 1
dare 1
dark 6
darkling 7
darklings 2
data 1
daughter 3
david 123
davids 1
day 4
days 3
dead 14
death 1
debate 1
decide 4
decided 2
decides 1
deck 3
declared 1
declares 1
defeat 1
defeats 1
defect 1
defends 1
delayed 1
demands 7
denies 2
depicted 1
depicting 1
depicts 1
described 1
