16699082
/m/04y5kr7
/m/04y5kr7
Gore Vidal

160 1
a 2
against 1
an 2
and 2
at 1
bigot 1
both 1
candidate 1
candidates 1
cantwell 1
charlatan 1
endorse 1
endorsement 1
enjoys 1
ethical 1
for 1
forceful 1
get 1
hell 1
himself 1
his 1
honesty 1
humorous 1
in 2
is 2
joseph 1
liberal 1
likable 1
man 2
nomination 1
not 1
of 2
on 1
one 1
outgoing 1
philadelphia 1
popular 1
populist 1
president 1
presidential 2
prides 1
primaries 1
running 1
runs 1
russell 1
senator 1
southern 1
summer 1
telling 1
the 6
them 1
to 1
try 1
unscrupulous 1
which 1
while 1
who 2
william 1
