1277351
/m/04phg9
/m/04phg9
John Gardner
1994-08
007 1
after 1
aid 1
an 2
and 3
billionaire 1
bond 2
captain 1
cheer 1
during 1
flicka 2
for 1
friend 1
germany 1
girlfriend 1
global 1
goes 1
grsse 1
he 2
help 1
his 1
hitler 1
ill 1
informed 1
israel 1
james 2
keep 1
latest 1
m 1
maxwell 1
microglobe 1
next 1
now 1
of 2
old 1
one 1
plot 1
proposes 1
puerto 1
rather 1
reappears 1
rico 1
sir 1
spain 1
split 1
spy 1
story 1
takes 1
tarn 1
than 1
the 5
thinks 1
this 1
to 4
trail 1
twosome 1
up 2
via 1
visits 1
von 1
who 1
whom 1
with 1
works 1
