7415895
/m/0260z53
/m/0260z53
Anthony Powell
1973
{"/m/06nbt": "Satire", "/m/05hgj": "Novel"}
15 2
158 1
a 11
abrupt 1
account 1
accusations 1
actress 1
ada 1
after 1
alarming 1
also 1
american 1
an 3
and 11
announced 1
apparently 1
are 2
army 1
around 1
arrest 1
arrival 1
arrives 1
as 1
at 3
attends 2
audrey 1
author 1
back 1
bagshaw 1
bar 1
bed 1
between 2
biographer 1
bob 1
books 1
bragadin 1
brightman 1
business 1
by 4
ceiling 2
collapses 1
concert 2
conducts 1
conference 2
couple 1
daniel 1
daughter 1
day 1
death 4
decade 1
designs 1
dines 2
director 1
do 1
dr 1
duport 2
dying 1
earlier 1
edge 1
emily 1
encountered 1
england 1
ensues 1
erdleigh 2
evident 1
faintly 1
farebrother 1
ferrandsnschal 2
film 1
flying 1
for 2
foretells 1
french 1
from 2
furnish 1
further 2
gazing 1
given 1
glober 5
gwinnett 7
has 1
he 2
hears 1
her 1
here 1
his 1
hospital 1
house 1
imminent 1
in 7
international 1
interrupted 1
introduced 1
introduces 1
is 8
it 1
jean 1
jenkins 2
jimmy 1
late 1
later 3
leaving 1
leintwardine 1
linking 1
literary 1
louis 1
lunches 1
maclintick 1
manasch 1
manner 1
married 1
meet 1
meets 1
moreland 3
mozart 1
mrs 2
mysterious 1
mystery 1
nakedness 1
naturally 1
near 1
next 1
nick 6
novel 1
now 1
odo 2
of 8
on 5
overdose 1
painted 1
painter 1
paintings 1
palace 1
pamela 10
party 2
polly 1
preceding 1
predicts 1
press 1
produces 1
prospective 1
recounts 2
reflects 1
rendezvous 1
report 1
reunion 1
room 1
rosie 2
row 1
russell 1
scenes 1
she 1
spying 1
staying 1
stevens 2
still 1
stringham 1
stripling 1
subsequent 1
summer 1
sunday 1
surprising 1
that 3
the 15
there 3
tiepolo 1
to 5
tokenhouse 2
trapnel 1
trouble 1
upon 1
venice 1
view 1
viewing 1
violent 1
visits 4
warned 1
was 1
where 2
while 2
who 3
widmerpool 6
widmerpools 1
wishes 1
with 11
x 1
year 1
