4249784
/m/0bsb4y
/m/0bsb4y
Michel Verne
1905
{"/m/08sdrw": "Adventure novel"}
a 6
able 1
about 2
after 2
afterward 1
again 2
alabama 1
all 1
american 1
an 1
and 17
are 4
argentina 1
around 1
arrive 1
arrived 1
as 4
at 3
attempt 1
back 1
band 2
bands 1
banister 1
bay 2
been 1
before 1
boat 1
bolted 1
bomb 1
break 1
but 2
by 4
cannon 1
cant 1
carcante 2
carpenter 2
causes 2
cave 1
century 1
chance 1
climb 1
commits 1
crashes 1
damage 2
davis 3
day 2
days 1
dispatch 1
door 1
down 1
due 2
escaping 1
fe 4
felipe 1
few 2
find 1
first 1
fix 1
fixed 1
flee 1
food 1
for 3
fortunately 1
from 4
get 1
give 1
having 1
heads 1
hidden 1
home 1
horizon 1
however 3
in 5
interior 1
into 2
iron 1
is 8
island 5
it 4
its 1
john 1
keepers 1
kill 1
know 1
kongre 4
leader 1
leave 2
led 1
light 3
lighthouse 6
lighthousemen 1
making 1
manage 1
maule 2
minor 2
mobile 1
months 1
mooring 1
moriz 1
most 1
murder 1
murdered 1
new 1
newly 1
next 1
night 2
not 1
now 1
of 10
off 2
officer 1
on 3
one 2
only 5
orders 1
out 2
over 2
pacific 1
peek 1
perfect 1
pirate 1
pirates 9
plants 1
possibly 1
put 1
quite 1
realize 1
regain 1
reinforced 1
remaining 1
return 2
returns 1
rudder 1
safe 1
sail 1
sante 4
scavenge 1
secondincommand 1
several 1
shell 1
ship 4
shoot 1
shot 1
side 2
situated 1
slip 1
sole 1
soon 1
south 1
southern 2
spends 1
spots 1
staircase 1
starve 1
staten 1
stationed 1
stop 1
stores 1
suicide 1
sure 1
surrender 1
surviving 1
survivor 2
swims 1
the 55
their 1
them 3
they 5
this 2
three 1
till 1
tip 1
to 16
too 1
top 1
tries 1
troop 1
turn 1
two 2
until 1
vasquez 8
watches 1
well 1
which 1
will 2
with 2
without 1
wreck 1
wreckage 1
yet 1
