6438132
/m/0g5c6d
/m/0g5c6d
Upamanyu Chatterjee
2006-02-28
{"/m/0vgkd": "Black comedy", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/01z4y": "Comedy"}
11 1
37 1
a 5
about 3
age 2
all 1
an 2
and 4
are 1
around 1
at 2
attitude 1
be 1
because 1
bhola 1
bholas 2
book 1
books 1
carried 1
circumcision 1
college 1
conventional 1
cook 1
couple 1
debauchery 1
defecating 1
depends 1
depravity 1
deviant 1
ends 1
engages 1
entire 1
even 1
everyone 1
expelled 1
falling 1
family 1
fantasizing 1
fetishes 1
for 2
form 1
forms 1
from 5
gets 1
gopinath 1
has 1
he 5
her 1
hillstation 1
him 2
his 2
home 1
hundreds 1
husband 1
in 6
inexpertly 1
is 2
it 1
last 1
length 1
life 3
loss 2
love 1
lust 1
madly 1
manifestations 1
many 1
mildly 1
miles 1
most 2
motif 1
named 1
near 1
not 1
obscure 1
obsession 1
of 9
office 1
on 1
one 1
other 1
out 1
participates 1
people 1
portly 1
progresses 1
put 1
roadside 1
sadhus 1
school 1
servants 1
sex 1
sexual 1
spans 1
stages 1
strange 1
tastes 1
teachers 2
teaching 1
the 8
their 1
this 1
to 7
up 1
various 1
vegetablevendor 1
wants 1
weight 2
whose 1
with 1
worthiness 1
