12016971
/m/02vm15s
/m/02vm15s
Paul Shipton
2004
a 14
about 2
additional 1
after 1
all 1
always 1
ancient 2
and 9
apollo 3
at 3
atomos 1
author 1
awesome 1
background 1
bar 1
be 1
believes 1
big 1
book 1
boy 1
by 3
can 1
captain 1
captured 1
chance 1
character 1
characters 1
circe 1
comes 1
couple 1
course 1
crew 1
customers 1
delphi 3
destruction 1
device 1
eat 1
enchantress 1
encounter 1
end 1
enjoying 1
entertain 1
entire 1
escapes 1
famous 1
find 3
finds 1
for 4
forced 2
found 1
from 1
fully 1
gave 1
go 1
goatherd 3
god 2
gods 2
got 1
greece 1
gryllus 11
had 1
has 2
have 2
he 2
her 3
him 2
himself 1
his 2
history 1
homer 1
huge 1
hunters 1
i 4
idea 1
in 9
informs 2
interested 1
into 1
invented 1
is 7
it 1
journey 1
junior 1
kebab 1
kidnaps 1
life 1
living 1
local 1
looking 1
lost 1
lovedthat 1
marbles 1
me 1
member 1
missing 1
monsters 1
more 2
mountain 1
must 2
myself 1
mythology 1
named 1
nonheroic 1
number 1
odesseus 1
odyssey 1
of 11
off 2
olympian 1
on 3
once 3
one 1
order 1
out 2
pies 1
pig 8
premonition 2
prophetess 1
quiet 1
realize 2
rereading 1
rescued 1
research 1
revisit 1
save 1
say 1
scientist 1
scrolls 2
set 3
sets 1
she 2
showing 1
sibyl 7
so 1
some 1
soon 2
stavros 1
strange 1
sun 1
talk 1
talking 4
tells 1
temple 3
that 3
the 25
their 1
then 1
there 1
they 4
to 10
together 1
top 1
training 1
transformed 1
trotters 1
turns 1
universe 1
utter 1
was 4
what 1
when 2
where 1
which 1
who 3
woods 1
work 1
working 1
world 3
zeus 1
