817368
/m/03dxc_
/m/03dxc_
Charles Dickens
1840
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1 1
13 1
1824 1
1825 1
1826 1
1830 1
1837 1
2 1
a 23
about 1
acting 1
admit 1
after 3
against 2
age 1
all 2
almost 1
already 1
also 1
an 2
and 23
april 1
arduous 1
are 1
around 1
arranges 1
arrive 1
as 7
at 8
attempts 1
attornies 1
away 2
back 1
banned 1
be 5
beautiful 1
befriends 1
began 1
beggars 1
begins 1
bereft 1
book 1
borrows 1
boy 1
brass 3
breakdown 2
brother 2
buried 1
but 7
by 5
byron 1
can 2
cards 1
chained 1
chapter 2
characters 1
charged 1
chooses 1
clerk 1
coincidence 1
come 2
committed 1
complain 1
concerned 1
considerable 1
contacted 1
convinced 1
convinces 1
corpse 1
cost 1
crossroads 1
curiosity 2
daniel 1
day 1
dead 1
dearly 1
death 1
deformed 1
described 1
dick 4
dickens 1
did 1
die 1
died 2
dies 2
discovered 1
does 2
down 3
dwarf 1
easily 1
easilyled 1
employed 1
employment 1
encounter 1
end 2
ends 1
england 1
enjoy 1
ensuring 1
escape 1
events 1
every 1
evict 1
evidence 1
evil 1
existence 1
eye 1
fact 1
fallen 1
far 1
fears 1
few 1
find 1
firm 1
for 5
forces 1
forms 1
fortune 2
found 1
fourteen 1
framed 1
frederick 1
friend 2
friends 1
from 1
fugitives 1
full 1
gambles 1
gambling 1
games 1
garland 2
gentleman 3
george 1
girl 1
given 1
go 2
good 1
goodnatured 1
grandfather 10
grave 1
grotesquely 1
grudge 1
has 5
have 1
haven 1
having 2
he 6
health 1
heart 1
heavily 1
help 3
her 20
here 1
him 6
himself 1
his 10
honest 1
however 1
hunchbacked 1
hunted 1
hunting 1
identified 1
in 12
incorrectly 1
infirm 1
inflict 1
ingle 2
inheritance 2
innocence 1
inquest 1
is 13
it 1
its 1
iv 1
job 1
join 1
journey 1
keep 1
keeps 1
kind 2
king 1
kit 8
knowledge 1
knows 1
later 1
lawyer 2
leading 1
leads 1
leaves 1
little 1
live 1
lives 2
lonely 1
looking 1
lord 2
lost 1
loves 1
madhouse 1
maid 1
majesty 1
make 1
malicious 1
man 1
marchioness 2
marry 1
maternal 1
meanwhile 1
mentally 1
midlands 1
misery 1
miss 1
mistreated 1
money 1
moneylender 1
monflathers 1
months 1
mother 1
mr 4
mrs 1
must 1
mysterious 1
name 1
nell 17
never 1
new 1
news 1
nicknames 1
no 2
nocturnal 1
not 4
number 1
obsessed 1
odds 1
of 19
off 1
old 2
on 2
one 1
only 1
opportunity 1
order 1
ordered 1
orphan 1
other 1
our 1
out 2
own 1
parents 1
peace 1
pen 1
place 1
possession 1
poverty 1
practice 1
practices 1
proves 1
pursuers 1
putting 1
queen 1
quilp 10
quite 1
referring 1
refers 1
refuses 1
reign 1
result 1
revealed 1
rules 1
runaways 1
sadistically 1
sadly 1
safe 1
same 1
secret 1
secretly 1
seem 1
seizes 1
sent 1
sentenced 1
servant 1
shall 1
share 1
she 4
shop 5
shropshire 1
single 1
sits 1
slip 1
so 1
some 2
sovereign 1
stake 1
stored 1
story 1
succeeds 1
suffers 1
suicide 1
supposed 1
swiveller 4
take 2
taken 1
takes 1
teaching 1
tells 1
that 8
the 37
them 1
there 2
these 1
they 3
thief 1
this 3
through 2
time 2
to 28
tong 1
track 2
transportation 1
trent 1
trial 1
try 1
trying 1
turns 1
two 1
under 1
unsuccessfully 1
until 1
up 1
use 1
victoria 1
village 1
villainous 1
virtuous 1
waiting 1
wall 1
wastrel 1
well 1
went 1
what 1
when 1
whereabouts 1
which 1
whipped 1
who 5
whom 1
whose 1
will 1
with 9
wits 1
write 1
young 1
younger 1
