6450497
/m/0g5vb4
/m/0g5vb4
John Birmingham

13 1
144 1
a 11
a4 1
abomb 1
administering 1
administrative 1
admiral 1
advance 1
advanced 1
afghanistan 1
after 1
air 2
aircraft 1
airfield 1
ak47s 1
all 1
allied 1
allies 1
amount 1
an 2
and 20
anew 1
anthrax 1
are 1
armies 1
around 2
as 6
asia 1
asks 1
at 4
atomic 1
attack 1
australia 1
austria 1
authorizes 1
axis 3
been 2
before 2
begin 1
begun 1
believing 1
berlin 2
black 1
blast 1
blown 1
blows 1
bomb 1
bombs 1
both 1
brain 1
brasch 1
british 1
building 1
built 1
but 1
by 6
california 1
campaign 1
can 2
carrier 1
catapults 2
characters 3
chunks 1
clinton 2
colonised 1
combat 1
commander 1
completed 1
contemporary 1
conventional 1
core 1
cover 1
crashed 1
cripples 1
crumbling 1
d 1
damage 2
dan 1
dday 1
designated 1
destroyed 1
destroying 1
died 1
dies 1
director 1
disinformation 1
done 1
drop 1
during 2
early 1
eastern 2
edgar 1
emperor 1
end 1
ending 1
enough 1
ethnicallycleansed 1
europe 2
explosive 1
extracted 1
facility 1
fbi 1
few 1
final 1
fleet 2
flown 1
for 3
force 2
form 1
france 2
from 4
front 1
fuel 1
full 1
future 1
gains 1
general 1
germany 2
give 1
going 1
gone 1
good 1
greece 1
group 1
halting 1
hand 1
hang 1
has 7
have 1
having 2
hawaii 1
he 1
head 1
help 1
her 2
hillary 1
him 1
himmler 2
his 2
hitler 1
hits 1
home 1
hoover 1
however 1
huge 1
if 1
impact 1
in 12
including 2
indochina 1
instead 1
intervening 2
into 2
invade 2
invasion 1
is 10
islands 1
it 1
italy 1
its 1
j 1
japan 3
japanese 2
jetpowered 1
july 1
kamchatka 2
kamikaze 1
killing 1
kolhammer 1
korea 1
large 2
last 1
less 1
litzmannstadt 1
main 2
major 1
manhattan 1
many 2
massive 1
mig15s 1
mind 1
month 1
months 2
more 2
most 1
move 1
much 1
multinational 1
muroc 1
muscle 1
nazis 1
necessary 1
new 1
normandy 2
northern 1
novel 1
now 1
nuclear 1
nuke 1
obliterate 1
occupation 1
of 21
on 4
one 1
onwards 1
outfit 1
over 1
own 1
pacific 2
pasdecalais 1
paul 1
people 1
period 1
permanent 1
persia 1
picking 1
pilots 1
plane 1
plus 1
poland 1
powers 2
private 1
probably 1
program 1
project 1
pushed 1
react 1
reality 1
reenters 1
refurbished 1
reich 2
reliable 1
renamed 1
replaced 1
replenished 1
response 1
retakeover 1
return 1
returns 1
russian 1
same 1
scale 1
scored 1
sea 1
secretly 1
sector 1
securing 1
seizure 1
share 1
side 1
skyhawk 1
soviet 1
soviets 2
special 1
start 1
steam 1
stockpile 1
story 1
strike 1
subject 1
suffers 1
suffocates 1
supercarrier 1
surges 1
surrender 1
t4 1
take 1
taken 1
takeoff 1
takes 1
targets 1
task 1
technology 1
temps 1
that 1
the 51
their 2
they 2
third 1
thousands 1
three 1
through 1
time 3
to 8
tokyo 1
train 1
trilogy 1
troops 1
two 4
unconditional 1
unsynthesized 1
up 2
us 3
use 1
used 1
using 2
uss 1
ussr 5
vichy 1
war 3
was 1
weapons 1
well 1
western 1
when 2
which 4
who 2
will 1
with 8
years 3
zonecalifornia 1
