9179175
/m/027_btv
/m/027_btv
Robert Harris
1992-05-07
142 1
164 1
75th 1
a 4
account 1
adolf 1
agents 1
also 1
american 1
an 2
and 4
apparently 1
apprehended 1
april 1
are 3
artur 1
as 6
at 4
auschwitz 2
authorities 1
aware 1
bank 1
begins 1
behind 1
being 2
berlin 1
birthday 1
body 1
border 2
both 1
bricks 1
buhler 1
but 1
by 3
camp 2
case 1
catches 1
caught 1
cellars 1
charlie 1
chief 1
circumstances 1
claims 1
close 2
completely 1
conclusions 1
conference 1
crimes 1
cross 1
death 2
denounced 1
details 1
detective 1
determined 1
direction 1
dismantled 1
does 1
done 1
draw 1
eliminating 1
ensuring 1
evidence 1
expose 1
extermination 1
fact 1
female 1
follows 1
for 4
generally 1
german 1
germany 1
gestapo 6
gun 1
had 1
happening 1
has 1
havel 1
he 5
headquarters 1
heads 2
highranking 1
him 1
his 2
hitler 2
holocaust 1
hoping 1
horrific 1
however 1
identified 1
in 12
intending 1
into 1
investigate 2
investigates 1
investigation 1
investigator 1
involving 1
is 8
it 1
its 1
josef 1
joseph 1
journalist 1
jurisdiction 1
kennedy 1
knowing 1
kriminalpolizei 1
kripo 3
leading 2
leaving 1
location 1
maguire 5
march 10
meeting 1
meets 2
more 1
murdered 2
murders 1
nazi 4
nebe 1
neutral 1
not 3
of 11
officials 3
on 3
one 1
order 1
orders 1
out 1
outskirts 1
own 1
p 1
party 1
people 1
planned 1
plot 1
political 1
president 1
prinzalbrechtstrae 1
private 1
pulls 1
readers 1
real 1
realises 2
regime 1
reich 1
remaining 1
rendezvous 1
rescue 1
reveal 1
revealed 1
safeguard 1
satisfied 1
scandal 1
searches 1
senior 1
sign 1
site 1
some 1
son 1
soon 1
staged 2
stages 1
story 1
suspicious 1
swiss 1
swissgerman 1
switzerland 2
systematically 1
tenyearold 1
that 4
the 39
their 2
they 1
third 1
this 1
time 1
to 11
tortured 1
track 1
travel 1
truth 1
two 1
ultimately 1
uncover 1
uncovers 2
under 1
undergrowth 1
unmarked 1
up 3
upcoming 1
waldshuttiengen 1
wannsee 1
was 1
week 1
what 1
which 1
while 1
who 3
with 4
working 1
world 1
wrong 1
xavier 1
zrich 1
