4886068
/m/0cslvz
/m/0cslvz
Patricia Wrede
1990
a 9
about 2
absorb 1
access 2
alianora 3
allow 1
already 1
although 1
an 1
and 16
annoying 1
another 2
any 1
are 2
arrange 1
as 1
assigns 1
at 1
away 1
back 1
based 1
bay 1
become 1
becomes 2
been 1
brings 1
burns 1
but 2
by 2
captive 1
castle 1
causes 1
cave 1
caves 4
character 1
choose 1
cimorene 14
comes 1
compete 1
considered 1
constantly 1
cook 1
cooking 1
deal 1
disagree 1
discovers 1
discovery 1
dragon 6
dragons 8
dragonsbane 2
encounters 1
errands 1
exchange 1
explains 1
faced 1
fairly 1
fall 1
fatally 1
fencing 1
find 1
finds 1
fire 1
foils 1
for 3
friends 2
from 2
frustrated 1
gathering 2
give 1
group 1
has 1
held 1
help 2
her 9
herb 1
herbs 1
hoard 1
hopes 1
hurries 1
ill 2
immediately 1
improper 1
in 2
including 1
information 1
inhalation 1
interesting 1
interfere 1
into 1
is 3
it 1
items 1
juice 1
kazul 11
keep 1
king 6
kingdom 1
knights 1
late 1
latin 1
learn 1
learns 1
leave 1
lemon 1
library 1
life 1
likes 1
living 1
magic 2
magical 2
marriage 1
meanwhile 1
meeting 1
meets 2
melt 1
mixed 1
must 2
near 1
nearby 1
neighboring 1
news 1
next 1
night 1
of 11
on 4
organize 1
other 1
panicking 1
persuades 1
plan 3
plant 1
poisoned 2
poisonous 1
position 1
posting 1
prince 3
princes 1
princess 3
princesses 1
prospect 1
queen 1
realizes 1
rescue 1
rescuers 1
road 1
runs 1
sample 1
sends 1
she 5
sign 2
smoke 1
soapy 1
sources 1
staff 1
staffs 1
state 1
statue 1
still 1
stone 1
subjects 1
suspicious 1
take 1
teach 1
tells 1
that 6
the 41
them 1
they 1
this 3
through 1
title 1
to 22
too 1
treasure 1
trials 3
turned 1
up 1
visit 1
volunteers 1
want 1
warn 1
water 1
way 1
where 1
while 1
who 1
will 2
win 1
wins 1
with 8
wizard 2
wizards 8
woraug 4
wouldbe 1
