7693831
/m/02692vl
/m/02692vl
Stephen Woodworth
2006-10-31
a 5
against 1
an 2
and 3
another 1
anyone 1
art 1
artist 1
as 1
attempt 1
attracted 1
behind 1
being 1
brutally 1
but 2
career 1
caught 1
channel 1
connected 1
contact 1
crimefighter 1
dangerously 1
daughter 1
deadly 1
deceased 1
destroyed 1
elite 1
escaped 1
experiment 1
finally 1
first 1
for 3
forces 1
former 1
from 2
geneticist 1
gift 1
grip 1
handsome 1
has 2
he 3
help 1
her 3
herself 1
him 2
his 1
in 2
interrupted 1
intriguing 1
is 4
left 1
legendary 1
lindstrom 1
living 1
man 1
manufacture 1
mdash 3
most 1
murder 1
must 2
natalie 4
new 1
now 1
of 2
one 1
only 1
opposing 1
painters 1
paranormal 1
past 1
power 1
prison 1
protect 1
scientists 1
search 1
she 1
spirits 1
subject 1
summon 1
survival 1
targeted 1
test 1
that 2
the 6
to 5
tortured 1
two 1
underworld 1
using 1
victims 1
violet 1
violets 1
wants 2
was 1
whom 1
whose 1
with 2
world 1
young 1
