11159547
/m/02r21cc
/m/02r21cc


{"/m/06n90": "Science Fiction"}
a 13
across 1
actually 2
advice 1
age 1
agents 1
agrees 1
ai 2
alarmed 1
alien 2
aliens 1
all 1
although 1
an 4
ancient 1
and 26
annihilated 1
apart 1
are 11
around 1
artifacts 1
as 4
assault 1
assumes 1
at 1
attacking 1
attempts 1
avery 1
awakens 1
back 1
battle 1
be 2
become 1
becoming 1
been 1
begin 1
begun 1
believes 1
bias 2
blast 1
blessings 1
board 1
boarding 1
breadbasket 1
brute 1
busy 1
but 2
by 8
byrne 3
can 1
cargo 2
challenges 1
charity 2
chieftain 1
city 1
civil 1
civilians 2
colonies 1
colony 1
command 1
confirm 1
control 1
controlled 1
covenant 11
crewed 1
crimes 1
currently 1
dadab 6
deacon 2
declaring 1
descendants 1
despite 1
destroyed 1
destroys 1
disappearances 2
discover 1
disobeys 1
dormancy 1
due 1
earth 1
effort 1
enraged 1
enter 1
eons 1
escape 1
escapes 1
evacuate 1
evacuating 1
explosion 1
exterminate 1
false 1
family 1
fertile 1
fighting 1
finish 1
firefight 1
for 8
forerunner 3
forerunners 1
forerunnersmeaning 1
fortitude 5
found 1
freighters 1
friend 1
from 4
frontlines 1
galaxy 1
gardens 1
glass 1
gods 1
goes 1
ground 1
had 1
harvest 10
has 3
have 1
he 2
heavily 1
help 1
herself 1
hierarchs 2
high 2
his 8
holy 1
human 4
humanity 1
humans 4
hundreds 2
huragok 1
hyuum 3
in 5
indicates 1
informs 1
instead 1
instruments 1
insurrectionists 1
intelligence 1
intends 1
intercepting 1
is 9
it 1
its 1
itself 1
jenkins 1
jiralhanae 2
johnson 6
keep 1
kigyar 3
kill 2
killed 1
killing 1
kills 1
later 1
launches 1
leader 1
leading 1
leaving 1
led 1
left 2
lighter 2
living 1
lost 1
maccabeus 4
makers 1
meanwhile 1
meeting 2
member 1
members 2
mendicant 2
mercy 1
methane 1
midst 1
militia 4
minister 3
more 1
most 1
must 2
named 2
names 1
nations 1
naval 1
nephew 1
never 1
new 2
next 1
nolan 1
notices 1
of 27
off 2
office 1
old 1
on 7
onboard 1
one 2
onethird 1
oni 2
only 2
oracle 1
orbital 1
ordered 2
other 2
outer 1
outgunned 1
outmanned 1
pack 1
parley 1
party 1
peace 1
philologist 4
picked 1
place 1
planet 5
platform 1
plot 2
portion 1
presence 1
prophet 2
protect 1
pulls 1
quickly 1
race 1
raise 1
realizes 2
reclaimers 1
recover 1
regret 1
relics 6
remote 1
requires 1
reservations 1
responsible 1
revealed 2
revelation 1
sacred 1
san 3
search 1
searches 1
seeking 1
senile 1
sergeants 1
serves 1
set 1
several 1
shattered 1
shield 1
ship 4
shipmistress 1
ships 2
shocked 1
shot 1
size 1
so 1
some 2
space 2
spread 1
squad 1
staff 1
starting 1
steal 1
strange 1
successfully 1
suddenly 1
supposedly 1
surface 1
survivors 1
take 3
talks 1
tartarus 6
team 1
tear 1
than 2
that 9
the 77
their 4
them 1
themselves 1
these 1
they 4
third 1
this 2
those 1
thousands 1
three 1
throne 2
to 17
tranquility 4
trap 1
tries 1
troops 2
truth 2
two 1
uncle 1
unggoy 1
united 1
up 1
usurp 1
vessel 2
vessels 1
viceminister 1
visit 1
wallace 1
war 1
weapon 1
when 2
which 1
while 2
who 1
with 4
would 1
writings 1
young 1
