10715431
/m/02qn2n0
/m/02qn2n0
Christopher Priest
1977
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
185 1
a 6
about 1
an 2
and 2
another 1
are 4
as 1
based 1
be 1
beneath 1
brilliant 1
but 1
can 1
castle 1
collective 1
consensus 1
create 1
created 1
deception 1
discovers 1
dream 1
dreamers 1
earth 1
england 1
enter 1
extended 1
extrapolated 1
for 1
from 1
funded 1
future 1
futures 1
gather 1
group 1
ideal 1
illusory 1
imaginary 1
in 2
information 1
into 1
is 2
itself 1
jeopardize 1
join 1
level 1
love 1
maiden 1
metaphor 1
method 1
minds 1
most 1
novel 1
object 1
of 4
on 2
once 1
or 1
our 1
philanthropic 1
power 1
privately 1
process 1
program 1
project 2
read 1
remember 1
society 1
some 1
story 1
straightforward 1
survival 1
the 8
their 1
they 4
to 5
transport 1
twentiethcentury 1
unable 1
unconscious 1
virtualreality 1
vital 1
way 1
wessex 2
where 1
which 1
who 2
world 1
year 1
