14736797
/m/0gfhg_c
/m/0gfhg_c
Lois McMaster Bujold
1986
{"/m/06n90": "Science Fiction"}
a 20
aboard 1
accepted 1
admiral 1
advantage 1
after 1
afterwards 1
again 2
all 2
also 1
an 4
and 23
appoints 1
aral 4
are 2
arrives 1
as 5
asks 1
assigned 2
assumed 1
astronomical 1
at 3
attacked 2
attempts 1
attracted 1
authorities 1
awakens 1
back 2
barrayar 4
barrayaran 5
barrayarans 1
base 2
batman 1
be 3
because 1
been 4
being 1
beta 3
betan 3
bothari 3
brainwashed 1
briefly 1
brig 1
but 1
butcher 1
by 10
cabin 2
called 1
camp 4
can 1
captain 2
captured 1
care 1
charge 2
civil 1
clothes 1
colony 3
command 2
commodore 1
conclude 1
containing 1
convinced 1
convinces 1
cordelia 7
crew 2
crewman 1
critical 1
crown 2
cure 1
cybernetic 1
dead 1
dealing 1
deals 1
decoy 1
deduces 1
defeat 1
defenders 1
deliver 1
delivery 1
denies 1
desperate 1
despite 1
devastating 1
developing 1
directly 1
disables 1
disgrace 1
distracts 1
does 1
driven 1
during 1
duty 1
dying 1
each 1
elena 1
emperor 2
encounters 1
escaped 1
escobar 2
escobaran 1
escobarans 1
even 1
ever 1
exchange 2
executes 1
exit 1
exploring 1
eye 1
ezar 2
fact 2
fear 1
feeling 1
fending 1
fetus 1
find 1
finds 1
first 2
fiveday 1
flagship 1
flees 1
fleet 1
following 1
for 3
forces 1
form 1
fouryearold 1
from 4
further 1
give 1
goes 1
good 1
got 1
grandson 1
gregor 1
guard 1
had 1
hands 1
has 6
he 4
head 1
heavy 1
heir 2
helps 1
her 17
herself 1
hide 1
hides 1
hike 1
him 5
his 9
hits 1
if 1
illyan 1
in 11
inherited 1
injured 2
injuries 1
inmates 1
insomnia 1
interference 1
into 1
invasion 3
investigating 1
is 18
it 4
job 1
keep 1
kills 1
komarr 1
leads 1
led 1
left 1
let 1
lieutenant 1
line 1
live 1
local 1
longer 1
lord 1
losses 1
lost 1
marooned 1
marries 1
marry 1
mass 1
master 1
may 1
means 1
medical 1
memory 1
mentally 1
met 1
minders 1
minor 1
monster 1
most 1
mostly 1
much 1
mutiny 1
mutualmdashhe 1
naismith 1
needs 1
negotiates 1
nervous 1
new 2
newlydiscovered 1
next 1
no 1
not 1
notorious 1
now 1
of 16
off 1
officer 1
on 4
one 3
organizes 1
out 2
overhears 1
overwhelming 1
own 1
pair 1
people 1
perfect 1
personal 1
picket 1
placed 1
planet 3
planning 1
plot 1
plunge 1
political 1
prince 3
prison 1
prisoner 2
proposes 1
psychiatrist 1
psychologically 1
raised 1
rank 1
rapechild 1
raped 1
recovers 1
refuses 2
regentelect 1
rejects 1
replicators 1
reputation 1
rescued 2
retreat 1
returns 1
rival 1
rock 1
role 1
sadistic 1
same 1
saner 1
secret 3
seems 1
sees 1
serg 2
sergeant 1
she 21
ship 4
ships 2
show 1
simon 1
sleep 1
so 1
society 1
soldier 2
some 1
son 1
spends 1
spy 1
step 2
stockholm 1
strongly 1
stuttering 1
successfully 1
succession 1
suffering 1
suggests 1
summarily 1
surprise 1
surprised 1
survey 1
syndrome 1
take 1
takes 2
tampered 1
thanks 1
that 8
the 32
their 1
them 1
then 3
thus 1
tic 1
time 1
to 23
tortured 2
transport 1
treacherous 1
turns 1
under 1
unexpectedly 1
unstable 1
until 1
used 1
uterine 1
vicious 1
virtue 1
vorbarra 1
vorkosigan 12
vorrutyer 2
war 1
was 2
watchful 1
way 1
weapon 1
weapons 1
well 1
wellintentioned 1
what 1
when 3
where 2
which 1
while 2
who 2
with 5
woman 2
women 1
wormhole 1
would 1
