16640940
/m/03yj4r8
/m/03yj4r8
Juliet Marillier

a 25
accepted 1
accepts 1
act 1
after 4
again 2
all 4
alliance 2
allow 1
allows 1
almost 1
alone 1
an 3
and 38
anew 1
appearance 1
appears 1
archdruid 1
are 3
arrives 2
arrow 1
art 2
as 5
asks 1
at 8
attack 1
attacks 1
awaits 1
away 1
back 4
band 1
bargains 1
battle 3
be 2
becomes 2
been 1
begin 1
being 2
believe 2
bend 1
bidding 1
bird 1
boasts 1
bolt 1
bond 1
both 1
boy 1
bran 4
briefly 1
britain 1
briton 2
britons 2
broken 1
brought 1
but 3
by 16
captured 1
care 1
challenges 1
champion 1
changing 1
charm 2
child 4
childhood 2
children 1
ciarn 5
cliff 1
climb 1
close 1
coached 1
combat 1
comes 1
complete 1
conor 1
continued 1
control 2
cousin 2
cousins 1
criteria 1
d 2
danann 2
darragh 8
daughter 4
day 1
dead 1
death 3
decide 1
decides 1
defies 1
departs 1
descendants 2
die 1
dies 2
disappointed 1
disfigures 1
do 2
dove 1
drowned 1
druid 2
during 5
eala 1
eamonn 7
earth 1
easy 1
eaten 1
edwin 1
else 1
encounter 1
end 1
enemy 1
enough 1
erin 2
especially 1
every 1
everyone 1
excerpt 1
exchange 1
failed 1
fainne 30
fair 3
familiar 1
family 1
far 1
father 4
fiacha 1
fight 1
final 2
finally 1
finbar 3
fire 1
folk 3
follows 1
for 6
force 2
forces 1
forcibly 1
forest 2
formal 1
former 1
friends 1
friendship 1
from 6
fulfilled 1
future 1
get 1
gift 2
girl 2
give 1
given 2
gives 3
glamour 1
glencarnagh 1
go 3
goaded 1
gradually 1
grandmother 10
great 1
growing 1
had 1
harm 1
harsh 1
has 6
have 1
he 1
help 1
her 38
heritage 1
hidden 1
hiding 1
him 3
himself 3
his 11
hope 1
horses 1
hostage 1
household 1
how 2
human 1
in 14
including 2
information 1
inis 1
injured 1
instead 1
interest 1
into 7
invited 1
is 22
island 3
islands 9
it 1
job 1
johnny 11
just 1
kerry 1
kill 3
killed 2
killing 1
kills 1
lack 1
lady 4
last 1
lead 1
leader 1
leadership 1
learn 1
learning 1
leave 1
led 1
left 1
lessons 1
liadain 2
life 3
lives 1
long 1
longtime 1
lore 1
loves 1
maeve 2
make 1
man 2
marked 1
marriage 2
meeting 1
meets 1
men 5
methods 1
mission 1
mistakenly 1
mists 2
moment 3
more 1
moth 1
mother 5
mouse 1
must 6
needle 2
neither 1
new 1
niamh 2
night 1
northwoods 3
not 1
occasional 1
of 36
off 1
old 4
on 3
once 2
one 3
ones 2
only 1
oonagh 4
or 1
original 1
other 1
out 1
over 3
overrun 1
painted 1
part 2
partially 1
passing 1
path 1
peek 1
people 2
performing 1
person 1
pivotal 1
prepared 1
preparing 2
progress 1
prophecy 6
proposal 1
protect 2
prowess 1
punished 1
pushed 2
quarrel 1
quickly 1
quite 1
raven 2
readers 1
reality 1
recovering 1
refused 1
remain 2
remember 2
retaken 1
retreat 1
returns 2
reveal 1
reveals 1
right 1
rituals 1
sacred 3
save 1
saved 1
saves 1
scar 1
scheme 1
sea 1
seaman 1
sean 1
second 1
secret 2
see 1
seems 1
seen 1
selkie 1
settles 1
sevenwaters 7
shadows 3
she 10
ships 1
showing 1
shows 1
shrouded 2
sickness 1
sight 1
silence 1
single 1
sings 1
sink 1
slow 1
slowly 1
small 1
solitude 2
some 1
son 4
sorcerer 2
sorcery 1
spy 2
start 1
stead 1
still 1
strict 1
suited 1
summer 1
swimmer 1
take 3
taking 1
task 2
tatha 2
teaches 3
tell 1
tells 1
terms 1
that 13
the 81
their 3
themselves 1
then 5
there 1
they 6
this 5
those 1
thoughts 1
threatens 3
throws 1
thwart 1
thwarted 1
time 1
tinkers 1
to 40
told 1
training 1
transforms 2
travelling 1
trip 1
turned 2
turns 1
two 1
uncle 3
uncles 1
under 1
unexpected 1
until 2
up 4
use 3
very 1
visit 1
visiting 1
visits 1
volunteers 1
warrior 1
warriors 2
was 1
watching 1
way 1
wear 1
when 4
where 3
which 2
while 1
who 3
wife 1
will 4
willing 1
with 10
world 1
would 1
young 3
