230018
/m/01hglt
/m/01hglt
Anthony Trollope

a 6
add 1
after 2
agrees 1
all 2
allows 1
also 2
although 1
american 1
an 1
and 8
another 1
answer 1
as 3
at 2
attending 1
aware 1
be 1
becomes 2
before 1
beloved 1
bereft 1
between 1
blessing 1
boncassen 1
book 2
both 2
burdensome 1
but 1
by 3
cambridge 1
chaperone 1
children 3
closer 1
companion 1
concerns 1
confidante 1
courtship 1
daughter 3
deal 1
dearest 1
death 1
derby 1
dies 1
disapproves 2
distant 1
down 1
duke 10
enamoured 1
end 1
ends 1
engagements 1
entering 1
even 1
expelled 1
fallen 1
family 1
father 1
finn 2
first 1
follows 1
for 1
frank 2
friend 1
from 1
funeral 1
gentleman 1
gerald 1
gets 1
given 1
glencora 4
government 2
grex 1
grownup 1
grows 1
had 3
has 3
he 7
heir 1
heiress 1
her 4
him 2
himself 1
his 9
however 2
if 1
imprudently 1
in 2
indication 1
informed 1
insists 1
into 1
invited 1
is 5
isabel 1
known 1
lady 5
late 1
left 2
life 1
lord 3
mabel 1
marry 1
mary 3
minister 1
more 3
mrs 2
of 12
older 1
omnium 1
once 2
only 1
palliser 1
parliament 1
part 1
permission 1
plantagenet 1
plot 1
political 1
poor 1
position 1
prime 1
proposed 1
prove 1
relationship 2
remains 1
request 1
secret 1
seriousness 1
she 3
silverbridge 3
somewhat 2
son 3
sons 1
suitor 1
take 1
that 1
the 25
three 1
time 1
to 9
tregear 1
troubles 1
turned 1
two 1
uneasily 1
unexpectedly 1
unofficial 1
welcome 1
welcoming 1
when 1
which 1
whom 2
wife 2
willing 1
wishes 1
with 4
without 1
younger 1
