30841087
/m/0fq13zc
/m/0fq13zc
Pittacus Lore
2010-08-03
15yearold 1
4 1
a 29
ability 2
able 2
about 3
above 1
accepts 2
accompanied 1
acquire 1
after 3
afterward 1
age 1
agrees 1
alias 1
alien 5
all 5
allows 1
along 1
already 1
also 6
always 1
ambushed 2
an 3
and 55
animals 1
ankle 1
another 2
anybody 1
appear 1
appears 2
are 13
argues 1
arms 1
arrival 1
arrive 2
arrived 1
arrives 1
artifacts 1
as 11
astronomy 1
at 8
athens 2
attack 1
attacked 1
attend 1
avoiding 1
away 1
back 3
barren 1
battle 1
be 6
beasts 1
beautiful 1
because 1
become 1
becomes 1
been 2
before 2
begin 3
begins 3
begun 1
being 1
believes 1
belong 1
bernie 3
blast 1
blocked 1
blue 1
body 3
book 1
both 2
boys 1
broken 1
bullying 1
burn 1
burst 1
but 4
by 11
calf 1
called 2
calls 1
can 3
captured 1
chance 1
chaos 1
charm 2
chases 1
chest 4
children 1
chimaera 1
circular 1
class 1
closed 1
closer 1
clothes 1
come 2
coming 1
communicate 1
companions 1
complex 1
conditions 1
confesses 1
confronts 2
conspiracies 1
conspiracy 1
constant 1
contains 1
conversation 1
convinces 2
cpan 2
cpans 1
creature 1
cremated 1
daniel 1
day 1
death 2
deaths 1
defeating 1
desolate 1
destroyed 1
devastating 1
developing 1
did 2
dies 2
different 1
diminished 1
dinner 1
discovers 2
do 2
dog 2
drives 1
during 2
each 3
earth 2
easily 1
effects 1
eight 1
emily 1
encounter 1
ends 2
energy 1
enraged 1
ensues 1
escape 2
eventually 1
ever 1
everything 1
exboyfriend 1
extraterrestrials 1
fashion 1
fax 1
fears 1
feats 1
fight 2
find 4
finds 1
fire 6
first 6
five 1
floor 1
florida 1
follows 1
football 1
for 10
fortunately 1
four 7
frantically 1
freeing 1
friend 2
friends 2
from 6
gained 1
galaxies 1
garde 2
gifted 2
girl 2
giving 1
glow 1
go 2
goes 2
going 2
gone 1
goode 1
group 1
grows 1
guardian 2
gun 1
had 2
halloween 1
hands 2
happening 1
harm 1
hart 1
has 10
hasnt 1
have 8
he 33
healing 2
heals 1
heart 1
heat 1
help 3
henri 20
her 8
here 1
herself 1
hide 1
high 1
him 12
himself 3
his 23
hit 1
home 1
hotel 1
house 6
how 3
however 1
hunting 1
hurt 1
identifies 1
identity 1
if 1
immediately 1
in 12
inflicted 2
information 1
injury 2
inside 1
intensifies 1
intent 1
into 1
introduced 1
invited 1
involvement 1
is 17
isnt 1
it 8
its 1
itself 1
james 1
john 53
joined 1
jones 1
jump 1
junior 1
just 1
kill 1
killed 3
kills 2
kosar 2
last 1
leaps 1
learns 1
leave 3
leaves 2
leaving 1
leg 1
legacies 6
legacy 4
life 2
light 1
lights 1
like 1
lit 1
local 1
looked 1
looks 1
loric 4
lorics 2
lorien 6
love 1
loves 2
lumen 1
magazine 2
make 2
makes 1
mark 9
masters 1
meets 2
members 2
mentors 1
met 1
milky 1
model 1
mogadorian 3
mogadorians 8
moments 1
more 1
most 1
move 1
much 1
must 3
name 1
narrates 1
new 1
next 1
nine 3
no 1
normal 1
not 2
novel 1
now 2
number 5
numbers 1
numeric 1
oblong 1
occurs 1
of 27
off 1
often 1
ohio 2
on 15
one 3
only 3
open 1
opened 1
opens 1
or 1
ordeal 1
order 2
other 2
out 4
outer 2
pain 1
painful 1
paper 1
paradise 2
party 2
passes 1
pebblelike 1
people 2
perform 1
pet 1
pick 1
placed 1
planet 2
powers 2
prepare 1
present 1
proceeds 1
process 3
produce 1
produces 1
promised 1
protected 1
protecting 1
protectors 1
publisher 1
race 1
rapidly 1
real 1
realized 2
realizes 4
really 1
reference 1
relief 1
reminds 1
replies 2
reported 1
rescued 1
residing 1
resistance 2
returns 1
revealing 1
right 1
rocks 1
room 1
route 1
run 3
running 1
rushes 2
salt 2
sam 11
sams 1
sarah 14
save 1
saves 1
saying 3
says 3
scar 1
scars 2
school 6
scout 1
scouts 2
search 1
second 1
see 1
seeing 1
seems 1
seen 1
sees 1
set 1
several 3
severely 1
shapeshifting 1
she 2
shows 1
signifies 1
similar 1
since 1
six 5
small 1
smith 2
so 2
soldier 1
some 2
soon 1
special 2
spell 1
spread 1
stands 1
starts 1
still 1
stone 3
stood 1
story 2
strength 1
supposed 1
surviving 1
talk 1
teammates 1
teenage 1
teenagers 2
teens 1
telekinesis 2
telekinetic 2
telling 1
tells 7
that 17
the 70
their 5
them 5
then 4
these 2
they 12
third 1
this 3
though 1
threatens 1
three 4
through 1
throughout 1
time 2
tired 2
to 44
together 1
tongue 1
too 1
town 1
train 1
training 1
trapping 1
truth 1
turn 2
twice 1
two 2
under 2
until 2
up 3
upward 1
use 2
used 1
uses 2
using 1
vision 1
visited 1
wait 1
waking 1
wanted 1
wants 1
war 1
wary 1
was 1
wasnt 1
way 2
well 2
what 3
when 7
where 3
which 1
while 2
white 1
who 8
whole 1
whom 1
why 2
will 6
window 2
with 18
witnesses 1
woods 1
wound 1
wounded 1
wounds 1
yet 1
you 1
young 1
