10154133
/m/02q3k5v
/m/02q3k5v
Cecily von Ziegesar
2006
{"/m/03mfnf": "Young adult literature"}
a 28
about 6
accepts 1
accusations 1
action 1
actually 1
administration 3
adores 1
after 5
again 1
againoff 1
against 1
agree 1
alan 1
all 4
along 1
and 36
angry 1
announces 2
another 1
apparent 1
are 8
around 1
arrival 1
as 10
asks 1
at 4
attempts 2
attention 1
attracted 2
avoiding 1
await 1
be 4
because 1
become 1
becomes 2
bed 1
beer 2
before 2
begin 2
beginning 1
begins 1
being 1
believe 1
believes 1
big 2
black 2
blamed 1
blissfully 1
bond 1
borrow 1
both 1
boyfriend 1
boys 1
brandon 5
break 3
breakup 2
brett 8
broken 1
buchanan 1
built 1
bumps 1
but 9
by 10
callie 12
can 3
cause 1
causes 1
chat 1
checks 1
chicks 1
chubby 1
closet 1
closets 1
clothes 1
coax 1
cold 1
comforting 1
common 1
confused 1
considerably 1
continue 1
continues 1
coolest 1
critical 1
deal 1
decide 1
decides 1
deciding 1
designer 1
dinner 3
discovers 1
do 2
does 5
doesnt 1
done 1
dorm 3
down 1
draw 1
drinks 1
due 1
dumbarton 7
during 5
each 4
easy 11
elizabeth 5
energy 1
enough 1
enter 1
even 1
event 1
events 1
everybody 1
everyone 2
excluding 1
face 1
fantastic 1
fast 1
father 4
feelings 1
ferro 5
finally 2
find 1
flee 1
followed 1
football 1
for 10
forgets 1
forgives 1
forgo 1
found 1
freshman 3
friends 2
from 4
front 2
game 5
gave 1
generosity 1
get 1
gets 1
getting 1
girard 1
girl 5
girls 6
go 2
gossip 1
grab 1
guys 1
had 1
haircut 1
hallways 1
hand 1
has 7
have 4
having 2
he 6
hearing 1
hears 1
heath 7
help 1
helps 1
her 16
hide 3
hides 1
him 3
his 7
history 1
hold 1
hoped 1
hopes 1
hot 1
hottest 1
however 2
hunt 1
i 2
if 1
immediately 1
implied 1
in 14
incident 1
insists 1
instead 1
interrupted 2
into 6
invitation 1
is 20
it 7
jacobs 1
jenny 14
jeremiah 8
join 1
joins 1
julian 2
kara 9
keg 1
kegs 3
kept 1
kiss 1
known 1
leave 2
leaves 1
led 2
left 1
liar 1
light 1
lives 1
lockdown 2
looking 1
lose 1
lucius 3
make 4
makes 1
making 1
mccafferty 1
means 1
meanwhile 1
member 1
mention 1
mercilessly 1
more 2
mortimer 2
most 1
mother 1
move 2
much 2
mug 1
multiple 1
nature 1
never 3
new 3
next 1
nickname 1
night 1
no 3
not 4
occasion 1
of 20
off 1
offcampus 1
offers 1
on 9
one 3
open 1
or 1
original 1
other 5
out 3
over 1
overly 1
party 7
partygoers 1
partying 1
passing 1
people 1
pick 1
place 1
plans 1
previous 1
previously 1
prompts 2
protect 1
pulled 1
punishment 2
quickly 7
quiet 1
reach 1
realizes 1
reasons 1
recent 1
recognize 1
reconciles 1
residents 4
respective 1
reunited 1
revealing 2
roaming 1
romantic 1
roof 4
room 7
rooms 3
ruining 1
rumor 1
rumors 3
saying 1
second 1
secret 2
separate 1
sex 5
she 7
shockingly 1
shot 3
simpler 1
single 1
slows 1
sneak 1
sneaking 1
so 6
spend 2
spirit 1
split 1
spotlight 1
spreads 1
st 4
staff 1
starting 1
starts 1
stidder 1
still 3
stop 1
stored 1
strong 1
such 1
suggests 1
surprise 1
surprised 1
surprisingly 1
take 1
taking 1
teacher 5
teased 1
than 1
thanks 1
that 12
the 64
their 5
there 1
they 6
this 1
though 1
thoughts 1
threads 1
threat 1
through 1
thrown 1
throws 2
thus 2
time 2
times 1
tinsley 9
to 38
too 1
took 1
tries 1
trustee 4
tunnels 2
turns 1
two 1
unaware 3
under 3
unfortunately 1
unimpressed 1
unseen 1
unwilling 1
up 6
upon 2
virgin 1
virginity 1
walsh 2
want 1
war 1
wardrobe 2
was 1
waverly 1
weekend 4
well 1
whale 1
whalen 1
when 3
which 4
while 2
who 12
whole 1
why 1
with 12
wonders 1
would 2
wrong 1
year 2
yvonne 1
