164304
/m/015w2c
/m/015w2c
Roger Zelazny
1969
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
14 1
a 25
abandoned 1
about 1
above 2
abyss 1
across 2
administered 1
administration 1
after 1
agnostic 1
agrees 1
all 1
also 5
alternate 1
among 1
amongst 1
an 4
and 22
angel 1
angels 4
annihilation 1
anomaly 1
another 1
answers 1
anubis 4
anubistake 1
any 1
apparently 1
appears 1
are 4
armor 1
as 3
at 2
atmosphere 2
attacked 1
audience 1
augur 1
awakened 1
balance 1
battle 1
be 3
because 1
become 1
been 2
beings 1
below 1
better 1
between 2
black 2
blast 1
blis 1
bliss 1
brain 1
brother 1
bursting 1
but 2
by 8
called 3
can 4
canine 1
cannot 1
capture 1
cast 1
castrated 1
catafalques 1
cave 1
centuries 1
cerberus 1
champions 1
charge 1
choice 1
cities 1
commit 1
common 1
consume 1
contain 2
contains 3
covered 1
creature 4
cries 2
cultivates 1
curious 1
dancing 1
dark 2
ddonori 1
dead 4
death 4
delegated 1
destroy 4
detriment 1
devastated 1
different 2
disembodied 1
distant 1
do 1
does 1
dog 1
doing 1
dominance 1
dormant 1
drinking 1
drugmaddened 1
dubbed 1
duties 1
each 2
either 1
enemy 1
enjoyment 1
enjoys 1
entrails 1
event 1
ever 1
examining 1
family 1
famine 1
father 1
fertile 1
fight 1
fights 2
filled 1
find 1
fire 1
fogshrouded 1
for 4
force 3
forces 2
found 1
from 1
front 1
furnishings 2
future 1
galaxy 1
geography 1
gets 1
given 1
glove 1
go 1
god 1
godlike 1
had 1
hammer 1
has 4
have 1
having 1
he 11
helping 1
her 1
here 1
hide 1
him 1
himself 1
his 8
hole 1
horse 1
horseshadow 1
house 7
immortals 1
in 21
included 1
indeed 1
inexhaustibly 1
inhabit 1
intelligent 1
interlocking 1
into 2
invisible 1
is 11
it 4
joband 1
jumping 1
just 1
keep 1
keeps 2
kills 1
know 1
known 1
lie 1
life 5
likes 1
litany 1
lovewithout 1
maintaining 1
making 1
malevolent 2
man 1
meanwhile 1
money 1
most 1
motions 1
much 1
mysterious 1
name 1
nearly 2
neglects 1
nephthys 1
nervous 1
never 1
night 2
no 1
normal 1
not 3
now 2
numerous 1
obliterated 1
of 18
old 1
on 10
once 1
one 1
only 2
or 3
osiris 6
other 2
others 1
othersosiris 1
over 1
overpopulation 1
overthrown 2
pair 1
paperweight 1
past 1
people 4
peoples 1
personality 1
places 1
plague 1
planet 7
pleasureeating 1
plenty 1
point 1
possibly 1
power 1
powerful 2
powers 1
prayer 1
predicts 1
presumed 1
priests 1
prince 2
prisoners 1
proliferation 1
proper 1
protect 1
questions 1
races 2
raid 1
real 1
rebellious 1
receiving 1
reduced 1
requires 1
resembles 1
respectively 1
revives 1
room 1
rug 2
ruled 2
safe 1
safekeeping 1
scatters 1
scream 1
scrier 1
sea 1
seas 1
seen 2
selfimmolation 1
set 6
several 1
shoes 1
six 2
skagganauk 1
skull 1
smashes 1
so 5
solely 1
some 2
something 1
sometimes 1
son 1
speak 1
speakers 1
spearmen 1
special 1
stages 1
stations 4
such 1
suicide 1
suns 1
survive 1
survived 1
surviving 1
system 1
term 1
that 7
the 63
their 1
them 3
themselves 1
these 1
thing 2
things 1
this 3
those 1
thoth 7
thousand 2
threatens 1
threeheaded 1
through 2
time 3
to 19
town 1
trace 1
two 2
typhon 2
universe 9
unleashes 1
unnamed 1
until 2
use 2
utterly 1
vacuum 1
vanishes 1
various 1
via 1
victor 1
vivisected 1
wallmounted 1
warlords 1
was 5
watch 1
way 1
weapon 1
weapons 1
were 1
where 2
which 2
while 1
who 12
whole 1
whose 1
wife 3
will 1
with 3
within 1
without 2
works 2
world 1
worlds 1
worries 1
worship 1
woven 1
