68851
/m/0hzkp
/m/0hzkp
Iain Banks
1991
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
100 1
a 10
all 1
also 2
and 6
another 1
arbitrary 2
argues 2
art 1
as 3
asking 1
at 1
attachment 1
away 1
bbc 1
be 2
been 1
betelgeuse 1
beyond 1
black 1
body 1
book 1
bowie 1
bulk 1
by 1
characters 1
choosing 1
chronicles 1
citizen 1
cleaning 1
clinically 1
considered 1
contact 1
contemporary 1
contents 1
could 1
culture 4
david 1
descendant 1
didnt 1
diziet 1
earth 3
electromagnetic 1
enhancements 1
entire 1
eradicated 1
fan 1
featuring 1
fix 1
for 3
from 3
future 1
get 1
gift 1
goes 1
good 1
had 1
has 2
have 1
hell 1
her 1
here 1
hilarious 1
his 1
hole 1
hs 1
human 1
humour 1
id 1
ideas 1
in 2
incontestably 1
insane 1
is 1
it 3
its 1
late 1
li 1
like 1
linter 1
locals 1
long 1
machine 1
made 1
makes 1
mess 1
micro 1
mission 1
more 1
mr 1
native 1
neurotic 1
novel 1
novella 2
odd 1
oddity 1
of 11
on 1
one 1
or 1
own 1
pages 1
piece 1
played 1
popular 1
postcard 1
prequel 1
present 1
qv 1
record 1
renounce 1
request 2
road 1
sail 1
scratch 1
sense 1
sent 1
serves 1
service 1
seventies 1
ship 4
should 1
sic 1
skulls 1
sma 2
so 1
somewhere 1
sorts 1
space 1
species 3
spectrum 1
star 1
state 1
swamped 1
that 3
the 21
this 2
thought 1
title 1
to 7
trek 1
try 1
up 2
use 1
wanted 1
was 1
weapons 1
whatever 1
while 1
who 2
whole 1
with 3
world 1
