14598224
/m/03d91jj
/m/03d91jj
David Lubar

a 3
about 1
accidentally 1
alternative 1
an 1
and 7
anything 1
are 2
attending 1
back 2
bank 1
been 1
by 1
can 3
cash 1
cheater 1
do 1
each 1
eddie 1
edgeview 2
figure 1
finds 1
firestarter 1
fistfuls 1
flinch 1
found 1
fourteenyearold 1
friend 1
friends 3
from 1
future 1
gather 1
get 2
he 1
hidden 1
high 1
his 4
home 1
in 3
info 1
into 1
is 2
it 2
keeping 1
kidnapped 1
leader 1
lives 1
lost 1
loved 1
lucky 1
martin 2
mind 1
minds 1
move 1
normal 1
now 1
objects 1
of 2
on 1
ones 1
organization 1
out 2
over 1
own 1
people 1
phenomena 1
power 1
powers 1
predict 1
process 1
psychic 1
reads 1
rescue 1
ruthless 1
school 2
see 1
since 1
souls 1
special 1
start 1
stealing 1
talent 1
talents 1
team 1
tests 1
thalmeyer 1
the 3
their 7
they 1
things 1
to 7
torchie 1
touch 1
trash 3
true 1
trying 2
unknown 1
up 1
use 1
when 1
while 1
willing 1
with 3
year 1
