6870757
/m/0gtk18
/m/0gtk18
Walter Scott
1832
a 17
abbot 1
accompanied 1
accompany 1
accordingly 1
account 1
adherent 1
admit 1
admitted 1
advancing 1
allowed 2
already 1
also 1
an 6
ancestor 1
ancient 1
and 31
anticipated 1
anxious 1
appealed 1
approved 1
archer 1
archers 2
armed 1
armour 1
arms 1
arranged 1
arrangement 1
arranging 1
arrival 2
arrived 1
as 6
assemblage 1
at 11
attack 2
attempted 1
augusta 7
away 1
aymer 3
battle 1
be 4
bed 1
been 4
behaved 1
behind 1
being 2
bells 1
berkely 1
bertram 4
between 3
bishop 1
boy 1
brave 1
bride 1
brilliants 1
bring 1
british 1
bruce 2
but 3
by 11
castle 5
celebrated 1
chain 1
chivalrously 1
church 1
churchyard 1
circumstances 1
claim 1
combat 1
comforted 1
coming 1
commanded 1
compelled 1
comply 1
concealed 1
condition 1
confidence 1
convent 3
could 1
courtesy 1
crown 1
curious 1
curtail 1
dangerous 1
day 1
daybreak 1
de 6
deceased 1
declared 1
declined 1
decorated 1
defeated 1
delay 1
delicate 1
delivered 1
deputy 2
descendants 1
despair 1
destination 1
detachment 1
detained 1
determined 1
dickson 1
disagreement 1
disappeared 2
disapproval 1
disguise 1
disguised 1
do 1
door 1
douglas 6
during 2
each 1
eager 1
earl 2
edward 1
elicited 1
empty 1
encounter 1
encountered 1
english 5
enmity 1
entered 1
entertained 1
escaped 1
escorted 1
examined 1
excited 1
explained 1
expressed 1
fabian 1
faithful 1
farm 1
fate 1
father 2
fatigue 1
first 1
fleming 1
followers 2
for 6
force 1
forced 1
forester 2
fortune 1
fought 1
found 1
fresh 1
friends 1
from 1
fugitives 1
full 1
future 1
garrison 1
generally 1
gilbert 1
governor 5
governorship 1
graves 1
greenleaf 1
guard 1
guessed 1
guide 1
had 8
hand 2
have 1
having 6
he 11
health 1
hearing 1
held 1
her 8
hidden 1
him 5
his 21
horses 1
house 1
however 4
hunting 1
i 1
imprudence 1
in 14
including 1
induced 1
indulgent 1
inhabitants 1
insisted 2
instantly 1
instead 1
intelligence 1
intercession 1
into 2
invited 1
it 3
its 1
james 3
jerome 1
john 7
join 2
journey 1
kingdom 1
knight 2
knights 2
known 1
lady 11
ladylove 1
lay 1
lead 1
left 2
legends 1
lieutenant 1
life 1
lover 2
make 1
malcolm 2
man 1
margaret 3
matters 1
meet 1
message 1
messenger 1
met 2
midday 1
miles 1
minstrel 5
mortally 1
mounted 1
name 1
named 1
narrated 1
neighbourhood 1
neighbouring 1
neither 1
new 1
night 1
nor 1
not 1
object 1
of 27
offence 1
officers 1
officiated 1
old 3
on 5
once 3
open 1
opposed 1
ordered 3
original 1
other 1
outpost 2
palm 1
part 1
party 1
passed 2
pembroke 2
period 1
permission 1
place 1
pleaded 1
plunged 1
postern 1
presence 1
preservation 1
prevent 1
proceeded 1
promised 1
purpose 1
quartered 1
ravine 1
reached 1
reaching 1
refused 1
reinforce 1
relating 1
renewed 1
repast 1
reproof 1
respecting 1
rest 1
retire 1
return 2
revealed 1
robert 1
room 3
roused 1
rudely 1
safety 1
satisfied 1
saved 1
scotch 1
scotchman 1
scottish 2
scroll 1
secret 1
secured 1
seeds 1
seek 1
seen 1
service 1
sexton 1
sharp 1
she 3
shelter 1
should 3
sir 15
sister 2
so 2
some 1
son 2
sown 1
spirits 1
sport 1
spot 1
squire 1
st 1
steps 1
stranger 1
stronghold 2
struggle 1
suddenly 1
summoned 1
sunday 1
supernatural 1
surrendered 1
sword 1
sympathy 1
taken 2
taking 2
terminate 1
that 7
the 76
their 7
them 3
then 4
there 1
they 4
thicket 1
this 2
thither 1
threaten 1
three 1
through 2
thus 1
till 1
to 37
together 1
tom 1
took 2
torture 1
towards 1
town 1
track 1
transferred 1
troops 1
turnbull 2
two 2
uncle 1
under 1
unless 1
until 3
upon 2
ursula 2
utterly 1
valance 2
valence 2
vassals 1
visit 2
visitor 1
vows 1
waiting 1
walton 2
warrior 1
warriors 1
was 11
way 1
were 7
when 4
where 1
which 9
while 1
who 7
whom 2
whose 1
wish 1
wished 1
with 8
withdraw 1
within 1
without 2
won 1
would 2
wounded 1
wrote 1
year 1
young 3
youth 2
