3724832
/m/09xdc0
/m/09xdc0
Clive Barker
2011-09-27
{"/m/03mfnf": "Young adult literature"}
a 10
abarat 3
abarataraba 1
absolute 1
adventures 1
all 3
also 3
an 2
and 12
appearance 1
are 3
as 1
asking 1
battle 1
be 1
before 1
befriends 1
begins 1
behind 1
bill 1
block 1
boa 4
body 1
book 3
both 3
boy 1
by 2
candy 9
capturing 1
carrion 5
character 1
christopher 4
city 1
climaxes 1
climbing 1
come 1
commexo 1
compared 1
creatures 1
darker 1
darkness 1
dolls 1
dragon 1
dress 1
duel 1
during 3
edge 1
ends 1
enemy 1
evil 2
falling 1
falls 1
father 2
fianc 1
fights 2
finding 1
finds 1
finnegan 1
for 1
form 1
from 5
gazza 3
geshrat 1
give 1
glyph 1
gorgossium 1
hag 1
have 1
her 7
herself 1
his 2
hob 1
huge 1
immediately 2
in 9
installment 1
into 1
introduced 1
is 5
its 1
jaunts 1
kill 2
killing 1
lagunna 1
large 1
later 2
league 1
light 1
looking 1
love 2
loves 1
makes 1
malingo 3
mater 4
memories 1
midnight 2
motley 4
munn 1
name 1
named 1
nephauree 2
new 2
next 1
novel 2
of 9
old 1
on 3
one 1
out 3
piece 1
pixler 1
possessed 1
prevent 1
previous 1
princess 1
prisoners 1
pure 1
pyramids 1
quackenbush 1
quakenbush 1
queen 1
readers 1
released 1
releases 1
remove 1
requiax 1
reuniting 1
revealed 1
rojo 1
sacbrood 1
save 1
seemingly 1
seen 1
series 1
she 3
siblings 1
sky 1
soul 2
spends 1
stars 1
stealing 1
takes 1
that 2
the 29
them 1
they 1
third 1
this 1
through 1
to 9
tries 2
turn 2
two 1
undersea 1
up 1
uses 1
visiting 1
void 2
war 1
well 1
who 5
witch 1
with 6
without 1
world 1
xuxux 1
zephario 1
