30363990
/m/0g5p_0h
/m/0g5p_0h
Willa Cather
1940-12-07
1856 1
25 1
40s 1
a 5
abolitionist 1
affair 1
all 1
an 4
and 5
at 1
attractive 1
be 1
beneath 1
between 1
blake 2
book 1
by 2
came 1
canada 1
cather 1
child 1
colbert 2
comfortable 1
connections 1
conversation 1
crippled 1
daughter 1
develops 1
dissolute 1
dropsy 1
entirely 2
epilogue 2
escape 1
estate 2
eventually 1
except 1
fear 1
for 2
girl 1
has 1
having 2
heard 1
help 1
helped 1
henry 3
her 6
his 1
house 1
husband 1
in 2
invites 1
is 6
late 1
later 1
life 2
lives 1
make 1
marriage 1
married 1
meals 1
middleaged 1
mill 1
miller 1
mistreating 1
mother 1
mrs 1
mulatto 1
named 1
nancy 6
narrator 1
neighbors 1
nephew 1
not 1
now 1
occasional 1
occasions 1
of 4
on 1
only 1
overheard 1
paranoid 1
place 2
rachel 1
railroad 1
rape 1
residing 1
responds 1
returns 1
revealed 1
sapphira 5
separate 1
several 1
slavery 1
slaves 1
station 1
stories 1
taken 1
takes 2
that 1
the 9
threatens 1
to 8
two 2
underground 1
unhappy 1
virginia 1
visit 1
visiting 1
who 3
with 4
woman 1
years 1
young 1
