782132
/m/03bybn
/m/03bybn
Tom Jones

a 30
abduction 2
able 1
about 9
abused 1
act 2
actor 2
actors 1
adventures 1
agree 1
all 1
aloud 1
also 1
always 1
american 2
an 3
and 52
another 1
appear 2
appears 2
approaches 1
are 6
argue 1
around 1
arrive 1
as 7
asks 2
at 2
attempt 2
away 2
background 1
ballet 1
bandit 1
be 1
beaten 1
beauty 1
become 2
before 1
begin 1
begins 1
being 1
bellomy 2
beloved 1
blazing 1
boast 1
burst 1
but 5
by 8
calls 4
can 5
carry 1
challenges 1
charm 1
childish 1
children 8
class 1
collects 1
come 1
comforts 1
compared 1
complain 1
contrasting 2
cruel 1
darkly 1
day 1
daylight 1
dead 1
deciding 1
deeply 1
defeats 1
delivers 1
depends 1
desperate 1
different 1
disappears 2
disarms 1
discovered 1
discuss 1
disheveled 1
do 1
does 1
dont 1
door 1
down 1
dressed 1
duel 1
each 3
eager 1
easily 1
effort 1
el 17
elaborately 1
embarrassed 1
employers 1
end 1
ended 1
ending 1
engages 1
ensure 1
enters 1
escalates 1
even 1
everything 1
exchanges 1
exhausted 1
exhausting 1
expense 1
experienced 1
experiences 3
explain 1
exposed 1
failing 1
fake 1
fall 2
fantasies 1
fantasizes 1
fantasy 1
father 2
fathers 11
feud 5
feuding 1
fiercely 1
final 1
finally 1
find 1
first 1
fit 1
flaws 1
for 4
friends 1
from 4
gallo 17
gardening 3
give 2
gives 1
glaringly 1
goes 2
gonna 1
grandeur 1
had 1
handsome 1
happy 1
harsh 1
has 1
hasnt 1
have 3
having 1
he 13
help 1
henry 3
her 14
heroic 1
him 8
himself 1
hint 1
hired 1
his 7
honor 1
house 1
houses 2
how 2
however 1
hucklebee 4
hurt 2
hurting 1
i 3
ii 1
impulsively 1
in 16
increasingly 1
indian 1
inside 4
intimacy 1
into 2
intrigued 1
is 8
it 4
its 1
joined 1
journey 1
joyful 1
joyfully 1
kidnapped 1
kidnapping 4
knocks 1
lead 1
leave 3
leaves 1
left 1
life 3
light 1
like 1
literary 1
literaryheroic 1
little 1
live 1
long 2
lose 1
love 6
lovers 2
luisa 21
maintain 1
makes 1
manipulate 1
mask 1
matt 21
may 1
means 1
memory 1
menu 1
merely 1
metaphor 2
mock 2
month 1
mood 1
moon 1
moonlight 1
moonlit 1
more 2
mortified 1
mortimer 3
mother 1
mr 2
much 1
must 1
mute 2
mutual 1
mysterious 1
narrator 2
necklace 1
need 1
never 1
next 1
night 1
no 3
not 1
note 1
nothing 1
noticing 1
now 1
observes 1
of 23
off 2
offers 1
old 2
on 1
one 2
or 1
order 1
orders 2
other 3
out 1
over 1
overwater 1
pack 1
passes 1
pay 1
people 1
philosophy 2
physical 1
picturesque 1
pique 1
pitiful 1
plan 1
plant 1
play 1
pledge 1
plenty 1
plot 1
plum 1
poetically 1
portrayed 1
portraying 1
poses 2
poseur 1
pretending 1
preview 1
previous 1
process 1
professional 2
promises 1
properties 1
provincial 1
quickly 1
radish 1
rain 1
raising 1
rape 4
real 2
realize 1
reason 1
rebuilt 1
recreate 1
recrimination 1
regain 1
reliability 1
relic 1
remain 1
remember 2
reminds 1
reprise 3
rescue 1
respective 1
return 3
returned 1
returns 1
reveals 1
ripe 1
romantic 4
round 2
sadly 1
same 2
saving 1
say 2
scenario 1
secretly 1
see 3
seemed 1
sees 2
sense 1
separated 1
september 1
sequence 1
series 2
shaky 1
she 6
sidekick 1
simulate 1
sing 1
singing 1
sit 1
sits 1
sneak 1
so 2
soon 1
spare 1
speak 4
speech 1
stage 1
staged 1
statue 1
still 1
stop 1
storm 1
suffer 1
sun 1
tableau 1
take 1
tear 1
tears 1
tells 6
that 15
the 56
their 11
them 3
then 10
they 8
things 1
this 1
three 1
through 1
time 1
to 37
too 1
top 1
town 2
treasured 1
try 3
turns 1
two 4
uncertainties 1
underscored 1
understand 1
unpleasant 1
unreality 1
unspecified 1
up 1
used 1
varieties 1
vegetable 1
version 1
visible 1
visibly 1
vision 2
wall 6
wanted 1
wants 1
was 1
watching 1
water 1
way 1
were 2
what 2
when 2
while 2
who 2
will 2
with 4
within 1
wonders 1
world 3
you 3
young 1
