21909903
/m/05p6hh0
/m/05p6hh0
Suzanne Collins
2009-09-01
11 2
12 3
13 3
14 1
24 1
24yearold 1
25th 1
3 1
4 1
7 1
74th 1
75th 1
8 1
80yearold 1
a 13
acts 1
after 5
again 1
age 1
agreeing 1
all 2
allows 1
ally 1
among 1
an 4
and 22
angry 1
announced 1
are 2
arena 6
arranged 1
as 1
at 3
attempting 1
attempts 1
be 3
been 4
beetee 4
before 1
being 1
best 1
between 1
bombed 1
book 1
both 3
break 1
breaking 1
but 1
by 5
capitol 5
captured 1
ceremony 1
chapters 1
chart 1
clock 1
comes 1
compete 1
competing 1
contains 1
contenders 1
contestants 1
country 2
couple 1
cruel 1
day 1
death 1
decides 1
defied 1
delivers 1
despite 1
destroy 1
destroyed 1
destroying 1
devote 1
devoted 1
did 1
died 1
directs 1
disasters 1
dispute 1
district 11
districts 3
done 1
due 1
during 3
each 1
electrocute 1
encounters 1
end 1
ends 1
event 1
everdeen 1
every 1
everyone 1
exceptionally 1
exist 1
explain 1
explains 1
failed 1
family 1
farewell 1
field 2
film 1
final 1
finnick 4
first 1
footage 1
for 3
force 2
forced 1
forces 1
friend 2
from 5
gale 1
games 8
genius 1
gesture 1
going 1
got 1
had 2
harness 1
has 1
have 2
haymitch 1
he 2
her 7
herself 1
home 2
honor 1
hoping 1
however 1
hunger 4
in 13
informed 1
informs 1
inspired 1
instead 1
interview 1
introduce 1
is 14
it 1
its 1
johanna 2
join 2
joined 1
katniss 20
killed 1
knowing 1
last 1
later 1
learns 3
lie 1
lightning 2
like 1
longer 1
mags 2
man 2
mason 1
mellark 1
mentor 1
most 1
new 1
no 1
not 2
novel 1
occurring 1
occurs 1
odair 1
of 16
often 1
old 1
older 1
on 4
once 1
order 1
other 3
out 3
panem 1
paralysis 1
peeta 10
people 1
permitted 1
place 1
plan 2
played 1
poorest 1
president 4
previous 3
proceed 1
proposes 1
protecting 2
proves 1
publicly 1
quarter 1
quell 1
quick 1
rebellion 2
residents 1
resulting 1
return 1
returning 1
revealing 1
rue 3
rules 1
runaways 1
safe 1
said 1
salutes 1
same 2
sarcastic 1
say 1
second 1
sector 1
settle 1
she 13
shortly 1
signal 1
smart 1
snow 4
song 1
soon 1
speech 1
start 1
stock 1
stop 1
subduing 1
successfully 1
supposedly 1
survived 1
television 1
tell 1
tells 1
temporary 1
thanking 1
that 21
the 46
their 2
them 2
then 1
theory 1
there 1
thereby 1
they 1
this 2
though 1
thought 1
time 2
timed 1
to 28
tour 2
transported 1
travel 1
tributes 1
tune 1
twelve 1
twist 1
two 3
underground 1
up 2
used 2
using 1
victor 1
victors 2
victory 2
visit 1
visited 1
wakes 1
was 2
way 1
when 4
which 1
whistles 1
who 2
widely 1
will 3
win 1
winning 1
wiped 1
wiress 3
with 4
year 1
years 1
