1319463
/m/04skn0
/m/04skn0
David Brock
2002
16 1
184 1
2000 1
a 7
about 3
account 1
affairs 1
after 2
against 2
al 1
allowed 1
ambassador 1
american 3
an 1
and 5
andrew 1
anita 3
anything 1
arkansas 2
article 1
as 5
assigned 1
assurances 1
at 2
attraction 1
bankrolled 1
be 4
been 1
beginning 1
being 2
believed 2
believes 1
berkeley 1
bill 3
bogus 1
book 7
brock 18
but 1
by 6
california 1
called 1
city 1
civil 1
claims 3
clinton 7
closet 1
college 1
come 1
communism 1
conceal 3
conservatism 1
conservative 3
conservatives 1
contributed 1
corroborate 1
corroborated 2
could 2
count 1
critical 1
damning 1
days 1
dc 3
deceived 1
decided 1
details 1
did 2
didnt 1
discovered 1
discredit 1
disdain 1
doing 1
dubbed 1
during 2
elected 1
election 1
enough 1
eventually 1
exception 1
expanded 1
facts 1
falling 1
false 1
first 1
following 1
for 8
forced 1
four 1
get 1
given 1
gore 1
grudge 1
had 4
he 19
hecklers 1
held 1
her 4
hill 3
hillary 5
him 3
his 8
homosexuality 1
honest 1
how 1
identified 1
identities 1
identity 3
in 8
influence 1
into 2
intolerance 1
is 1
issue 1
it 2
jeane 1
jones 1
journalism 1
kirkpatrick 1
last 1
later 5
latter 1
lawsuit 1
leave 1
led 1
liberal 1
little 1
made 3
main 1
many 2
mellon 1
moved 1
movement 5
name 1
named 1
nations 1
neutral 2
never 2
nonvoting 1
not 9
of 10
off 1
on 2
one 1
out 2
outcome 1
paid 2
paula 2
period 2
planned 1
popular 1
presidential 1
prior 1
proclaimed 1
project 2
promised 1
publications 1
put 1
rationalization 1
rationalizations 1
reagan 1
real 1
recalls 1
reluctantly 1
revealed 1
revealing 1
richard 1
rock 1
rodham 2
ronald 1
say 1
scaife 1
secret 1
seduction 2
shunned 1
since 1
small 1
so 1
spectator 3
speech 1
state 1
stated 1
states 1
stay 1
stories 2
story 2
sure 1
take 1
telling 1
that 16
the 37
their 1
then 1
thenpartner 1
this 1
those 1
thought 2
time 2
times 1
to 16
towards 1
troopergate 2
troopers 5
turned 1
two 1
united 2
university 1
unlike 1
up 1
used 1
vote 2
voted 3
voting 1
was 14
washington 3
were 1
which 3
while 2
who 2
with 3
woman 1
women 1
worked 1
working 2
would 4
write 1
writing 1
wrote 2
