31155094
/m/0gh89qy
/m/0gh89qy
Matthew Reilly

{"/m/01jfsb": "Thriller"}
182 1
2010 1
a 28
able 3
about 1
acidrocket 2
acids 1
acquired 1
actions 1
activated 1
active 1
actually 2
after 2
against 1
agency 1
agrees 1
alaska 1
alive 2
also 1
although 2
american 1
an 9
anarchists 1
anarchy 2
and 29
angelesclass 1
anything 1
arctic 3
are 7
arm 1
armed 2
army 13
arrival 1
as 13
assassin 1
assault 1
assigned 1
at 2
atmosphere 3
attack 1
attacks 1
authorises 1
away 1
baba 3
back 1
barbarian 1
barker 2
barracks 1
battery 1
be 5
been 2
before 7
begin 1
begins 1
being 2
bertie 2
biting 1
blank 1
blast 1
board 1
bottom 1
bounty 3
boxes 1
buffer 1
built 1
bunker 1
but 5
by 20
calderon 12
calling 1
can 4
captain 1
captured 1
cargo 1
carry 1
caught 1
centrepiece 1
champion 3
chase 1
cheque 1
china 2
choice 1
cia 2
claimed 1
cleared 1
close 1
cloud 4
come 1
comes 1
commando 1
commended 1
complicated 1
compound 1
confirmed 1
confirms 1
conspiracy 1
control 1
cornerstone 1
corps 2
cousin 1
create 1
created 1
crossfire 1
cuttingedge 1
david 1
days 1
dead 1
death 1
decides 1
decimated 1
defence 1
described 1
designed 1
destroy 1
destroys 2
detonate 1
diffusion 1
disables 1
disaster 1
discover 1
disposal 1
distress 1
distributed 1
down 2
downed 1
dragon 13
dubois 1
during 1
duty 1
early 1
economic 2
either 1
ejecting 1
ejects 1
electrocuted 1
elizabeth 1
else 1
ends 1
enemy 1
enforcers 1
enigmatic 1
enough 1
equal 1
equipmenttesting 1
escapes 1
europe 1
events 2
every 1
experiments 1
expert 1
explosion 1
extraordinary 1
facility 2
fairfax 2
fight 1
final 1
finally 2
finds 3
fire 3
firing 2
fishing 1
for 5
foremost 1
foresight 1
found 2
french 6
friend 1
from 6
fuel 3
fundamentalists 1
gant 1
gas 4
gathers 1
gifted 1
give 1
government 4
grows 1
has 6
have 4
having 3
he 9
head 2
heads 2
help 1
herself 1
hidden 1
highvalue 1
him 3
his 16
however 3
huguenot 1
hungry 1
ice 2
ignite 1
ignited 2
igniting 1
ignition 1
implying 1
in 12
including 1
independentlyintelligent 1
india 1
infiltrating 1
insertion 1
installation 2
intelligence 1
intercepted 1
interrupted 1
into 3
ira 2
irregular 1
is 16
islamic 1
island 12
it 5
its 1
ivanov 3
janjaweed 1
jetstream 1
just 1
kill 1
killed 2
kills 1
known 3
laboratory 1
larger 1
last 2
later 2
launch 1
leader 1
led 1
let 1
liability 1
lift 1
limiting 1
listening 1
locate 1
locked 2
long 1
lord 2
los 1
luc 1
made 1
majestic12 1
makes 1
manage 1
manages 1
marine 2
marius 2
member 1
members 2
miami 1
militants 1
minisubmersible 1
missile 5
missiles 2
mix 1
mixture 1
most 2
mother 3
mutlifunctional 1
named 1
narcoterrorists 1
navy 1
needs 1
new 1
no 1
norwegian 1
nuclear 1
ocean 2
of 30
off 2
offered 1
old 1
on 7
once 3
one 3
only 1
operations 1
operative 1
or 3
order 1
organisation 1
other 2
out 2
outstanding 1
over 2
pay 1
pinochet 1
place 1
plane 5
planning 1
plans 1
pledges 1
posed 2
position 1
predicted 1
preliminary 1
preserve 1
president 1
primers 1
prize 1
process 1
project 1
psychological 1
question 1
races 1
range 1
rats 2
realises 1
realising 1
reassgined 1
recruits 1
red 4
reeling 1
regime 1
regions 1
relationship 1
relatively 1
remains 1
remnants 1
renard 3
rescue 1
rescuing 1
research 2
researcher 2
restaffing 1
retaliation 1
returning 1
revealed 1
reveals 2
revived 1
rise 1
risk 1
robot 1
rocket 1
room 1
routine 1
russian 2
safe 1
samples 1
saves 1
scarecrow 2
schofield 17
scientists 1
scofield 1
seal 3
seed 1
seen 1
seized 1
selfproclaimed 1
send 1
sent 2
set 1
several 2
shane 1
she 1
shot 1
shut 1
signal 1
signature 1
situation 1
somewhat 1
soviet 4
spent 1
spetsnaz 1
stages 1
starts 1
states 2
station 3
stationed 1
stay 1
still 2
stolen 1
stop 1
strike 1
string 1
submarine 3
subsequent 1
succeeds 1
successfully 1
such 1
sudanese 1
suffocated 1
sunglasses 2
superpower 2
survived 3
suspicions 1
suspicious 1
taken 1
target 1
targets 1
teaching 1
team 10
terms 1
tesla 4
that 8
the 88
their 4
them 1
themselves 2
then 1
there 1
thereby 1
these 1
they 5
thieves 3
this 1
threat 3
through 1
throw 1
time 1
to 28
tortured 1
trawler 1
two 4
unaffected 1
under 2
union 2
unit 3
united 2
units 1
unknown 1
unleash 1
up 1
upon 1
uranium 4
uss 1
vasily 1
venus 1
veronique 3
warhead 1
warns 1
was 3
way 1
weapon 4
weapons 3
weeks 1
well 2
were 1
when 2
where 1
which 1
while 1
who 1
will 3
with 13
within 1
wooden 1
world 1
would 1
writing 1
