17471487
/m/04f_bpf
/m/04f_bpf
Malorie Blackman
2004-09-02
{"/m/0dwly": "Children's literature"}
a 8
about 2
accidentally 1
after 1
again 1
alex 3
alicia 1
allergic 1
allergy 1
alone 1
an 2
and 7
as 3
assigns 1
at 1
avoid 1
away 1
because 1
become 2
begins 3
best 1
big 1
boy 1
bully 2
busting 2
but 1
cant 1
class 1
cloud 2
consciousness 1
davey 13
did 1
didnt 1
dislikes 1
doing 1
eccentric 1
else 1
epipen 1
everyone 2
exbest 2
except 1
feet 1
fill 1
fizzy 1
for 1
forced 1
friend 2
friends 2
from 1
front 2
fun 2
fuss 1
get 1
go 1
goes 1
gone 1
happen 1
happened 1
has 3
hates 1
have 1
he 6
head 1
him 6
his 9
holes 1
homework 1
hospital 1
i 2
ideas 1
if 1
imagination 1
immediately 1
in 4
inside 1
is 4
it 2
joke 1
jumper 1
keep 1
learns 1
leaves 1
lets 1
letting 1
life 2
looking 1
loses 1
mackie 2
makes 1
mind 1
mistake 1
mocks 1
more 1
mr 2
much 1
my 2
new 1
noone 1
not 2
now 1
of 6
offers 1
or 1
out 1
park 1
part 1
peanut 1
peanuts 1
poem 3
pulling 1
quotes 1
reaction 1
regains 1
sam 6
sandwich 1
saves 1
school 1
secret 3
seem 1
should 1
slip 2
slipped 1
slips 1
so 1
soon 1
speeding 1
story 1
strange 1
teacher 1
telling 1
tells 1
than 1
that 2
the 10
this 1
time 1
to 11
together 1
two 2
until 1
use 1
vehicle 1
want 2
wants 1
way 1
what 2
when 1
whisked 1
with 1
write 3
