1120690
/m/047txv
/m/047txv
John Gardner
1988-06-01
{"/m/06wkf": "Spy fiction"}
a 12
achieve 1
acts 1
actually 1
additional 1
additionally 1
after 3
again 1
against 1
agent 1
agrees 1
ahead 1
aid 1
alias 1
along 2
an 5
and 8
angers 1
approaches 1
are 1
arms 1
as 2
assassinations 1
at 3
attacked 1
attempt 1
attempting 1
back 1
bailey 1
base 1
be 1
been 1
begun 1
behest 1
being 1
believe 1
believing 1
benefit 1
bombings 1
bond 13
brainwashed 2
briefed 1
british 2
buy 1
by 9
called 1
can 1
captive 2
captured 1
card 1
carolina 1
chase 2
chief 1
child 1
cia 1
commit 1
company 1
conducting 1
confesses 1
connected 1
country 1
credit 1
cult 4
daughter 1
dead 1
dealer 1
death 4
decide 1
die 1
does 1
down 1
driving 1
during 1
election 1
england 1
english 1
escape 2
every 1
father 1
fbi 1
finding 1
flee 1
for 5
forces 1
found 1
from 2
further 1
general 1
gets 1
giving 2
go 1
good 1
greater 1
had 1
hand 1
harriett 2
has 1
having 1
he 2
headquarters 1
her 1
hereford 1
highspeed 1
him 1
his 1
holy 1
horner 4
horror 1
humanity 1
in 7
including 1
information 2
interrogation 1
invalid 1
investigating 1
investigation 2
involved 1
irs 1
is 8
island 3
it 2
killed 1
know 1
knowing 1
known 1
learn 1
lives 1
london 1
m 2
man 1
manner 1
marriage 1
marry 1
meek 2
meets 2
member 2
members 2
men 1
moccasin 1
moral 1
motorway 1
multiple 1
night 1
not 1
novel 1
number 1
of 12
on 3
once 1
ones 2
operated 1
operations 1
organisations 1
out 1
paradise 1
pearlman 4
performing 1
politicians 1
pure 1
raid 1
returning 2
returns 1
run 1
sacrifice 1
safely 1
same 1
scorpius 13
secret 1
secretly 1
sergeant 1
service 1
set 1
several 3
she 1
similar 1
since 1
society 1
south 1
successfully 1
superintendent 1
tags 1
taken 1
taking 1
task 1
telephone 1
terrorism 1
terrorist 2
that 6
the 26
their 1
themselves 1
they 2
thinking 2
this 1
throughout 2
time 2
to 13
together 2
track 1
two 4
undercover 1
unsullied 1
until 1
up 1
upon 1
upper 1
use 1
vain 1
valentine 2
vladimir 1
war 1
was 4
water 1
which 2
who 1
whom 1
will 1
with 5
woman 3
work 1
working 1
would 1
