9086171
/m/027x4mj
/m/027x4mj
Katherine Roberts
2002-03-04
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
53 1
a 3
adopted 1
amytis 1
as 3
babylon 3
bc 1
be 1
between 1
capture 1
city 2
cyrus 1
daughter 1
defense 1
discovered 1
double 1
dragon 1
dragons 2
enough 1
far 1
fearing 1
food 1
for 1
from 1
garden 2
gardens 1
gateway 1
god 1
grants 1
great 2
hanging 1
health 1
herbs 1
in 3
inside 1
is 5
it 1
its 1
just 1
king 1
known 2
leaves 1
lie 1
magical 1
maker 1
might 1
needed 1
next 1
of 5
or 1
otherwise 1
perfume 1
persian 1
picking 1
plains 1
plans 1
portion 1
powers 1
sacred 1
salvation 1
save 1
secret 1
she 2
sirrush 1
soon 1
surrounding 1
the 16
them 1
themselves 1
these 1
threaten 1
tia 3
to 3
touch 1
two 1
wall 1
walls 1
what 1
will 1
year 1
